#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6581.115280174927    All      3.1909493718776005        -1.6858579732497603      0.4635903917815867        -1.5678486845124704       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5495.707596052426    All      -2.1944781634398147       2.6931432160939295       -0.4486786475547443       1.5720366139474737        
Check         All|All|All                            All                  All      0.9964712084377864        1.0072852428441692       0.014911744226842383      0.004187929435003346      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6581.115280174927    All      -0.000331185496992975     0.0002011952506550163    3.7747553960849255e-05    0.00017509842428033474    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5495.707596052426    All      -0.0011763179832258337    0.0014394620767567263    -0.0013222500793765764    0.0007930396739765372     
MWEBV         All|All|All                            All                  All      -0.5541586789424562       -3.2227524021383402      0.004330145722143619      -0.869055535254707        
Redshift      All|All|All                            All                  All      6.416149021860458         -4.996369893115471       -1.0114976884371998       -3.762571367521767        
