#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4930.8684903936755    All      0.7145197242302617         0.3196831026379243         -1.0301139991300667        -0.17458053403034413       
Zeropoint     AB|SDSS|SDSS_i            5979.5398726423555    All      1.176434685695436          0.14202107527196972        0.35500728934786396        -0.3211001992777879        
Zeropoint     AB|SDSS|SDSS_z            7109.174462184505     All      0.10623813060000892        0.013115751618286708       0.1396254073842529         -0.024102181814358165      
Zeropoint     AB|SDSS|SDSS_g            3773.5245298134914    All      -0.998315603318582         0.5242425503739767         0.5431777253858683         0.5201868084919944         
Check         All|All|All               All                   All      0.9988769372071243         0.9990624799021575         0.007696422987918394       0.0004038933695041935      
Lambda        AB|SDSS|SDSS_r            4930.8684903936755    All      -0.0001722809546948604     -3.988300908149562e-05     -0.0013084848986295388     -1.5265304722762882e-05    
Lambda        AB|SDSS|SDSS_i            5979.5398726423555    All      -0.00016126877628209113    -2.0971405338398296e-05    -0.0001162061103023267     4.051372437533358e-05      
Lambda        AB|SDSS|SDSS_z            7109.174462184505     All      -4.356112932946926e-05     -4.7789246881508454e-06    -2.4963965567035335e-05    1.1518612820402141e-05     
Lambda        AB|SDSS|SDSS_g            3773.5245298134914    All      -0.001502345384634286      0.0005872219169022662      -0.0013517427885544552     0.0006203187425096391      
MWEBV         All|All|All               All                   All      -0.5477674571659552        -3.017905857483427         0.1564209384721238         -0.7976249940543294        
Redshift      All|All|All               All                   All      4.10928502452871           -0.05332322688040847       4.708518235415593          -1.1457789098231863        
