#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4699.260811275065    All      -1.147041930046847         1.1640442521287042        0.325541831319578         0.7673242387838219        
Zeropoint     AB|PS|PS_i                7228.228298335144    All      0.6295194652876127         -0.1126288325389524       0.5698109079339715        -0.21631407278163228      
Zeropoint     AB|PS|PS_z                8306.998051826342    All      0.26571380114635873        -0.05928245900523876      0.19419421546940183       -0.09719597805612035      
Zeropoint     AB|PS|PS_r                5967.742216690915    All      1.252395941993937          0.0063091110163782105     -1.0814276235340539       -0.4541506239093564       
Check         All|All|All               All                  All      1.0005872783810617         0.9984420716008913        0.008119331188897405      -0.000336435963287085     
Lambda        AB|PS|PS_g                4699.260811275065    All      -3.1292130416766157e-05    -5.70054668607667e-05     8.129736652575563e-05     -4.7477515407075e-06      
Lambda        AB|PS|PS_i                7228.228298335144    All      -0.00023920584061011397    3.501733805120968e-05     -0.0004726971729820129    6.822920715400257e-05     
Lambda        AB|PS|PS_z                8306.998051826342    All      0.00021338505532842852     -4.815826233523076e-05    0.00012865253947644733    -7.94520911255329e-05     
Lambda        AB|PS|PS_r                5967.742216690915    All      -0.00024566404798393533    -2.933575712821864e-05    -0.0013057653294672315    1.2194931830197372e-05    
MWEBV         All|All|All               All                  All      -0.7022419150167103        -3.951501282261205        0.1345743101617245        -1.052385239984475        
Redshift      All|All|All               All                  All      5.537489544090082          0.761137611699958         13.799155261558242        -0.9400220395949985       
