#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                4699.260811275065    All      -1.1054153902515662        1.1673948041370785        0.5188272770316638         0.7634819320332191        
Zeropoint     AB|PS|PS_i                7228.228298335144    All      0.6309614680558132         -0.11316868496891175      0.5713507956400132         -0.21689091010490005      
Zeropoint     AB|PS|PS_z                8306.998051826342    All      0.2583749365087384         -0.05873470298896066      0.1925997853138739         -0.09469819834192128      
Zeropoint     AB|PS|PS_r                5967.742216690915    All      1.2162659278105332         0.002972422727509638      -1.2752515279180088        -0.4521182294487919       
Check         All|All|All               All                  All      1.0001869421235188         0.9984638389067158        0.0075263300675421085      -0.0002254058623940569    
Lambda        AB|PS|PS_g                4699.260811275065    All      -4.654061333839347e-05     -4.639513683714588e-05    9.787809592424389e-05      4.415236365755377e-06     
Lambda        AB|PS|PS_i                7228.228298335144    All      -0.00023845432071055396    3.661176321064302e-05     -0.00041228768750937653    7.119956701381511e-05     
Lambda        AB|PS|PS_z                8306.998051826342    All      0.00020259237227815142     -4.595162076873968e-05    0.00012715638683732914     -7.528454985347786e-05    
Lambda        AB|PS|PS_r                5967.742216690915    All      -0.00015450660766821772    -1.603697973530784e-05    -0.0009010024157151201     4.8965136742470404e-06    
MWEBV         All|All|All               All                  All      -0.6989835096233019        -3.9521984336367666       0.14336515723221144        -1.0532813998282253       
Redshift      All|All|All               All                  All      4.902793082781054          0.6687509734137898        10.473519421246035         -0.9117817422334064       
