#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5429.813232041717     All      0.1563922613196932         0.8562313307791669        -0.7540631796191466        0.19431023252496765        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4340.195755544489     All      -0.9813681906497946        0.6112038153753829        0.06343876502503676        0.5215840771444976         
Zeropoint     AB|CNIa02|SDSS_i                      7424.307078078721     All      0.5372544851203751         -0.19794115628846143      0.46361660161640117        -0.21878832800892173       
Zeropoint     AB|CNIa02|SDSS_r                      6122.2573331763615    All      1.2644669408803315         -0.28765815375999537      0.07114526652536313        -0.5024033202365968        
Check         All|All|All                           All                   All      0.9767454966706055         0.981835836106093         -0.15586254645234554       -0.0052973385760533565     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5429.813232041717     All      -0.00013111212359751594    7.735393329327719e-05     -0.001523185285987452      -6.85105177484709e-08      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4340.195755544489     All      -0.0004490756977859683     0.00012613556228682603    -0.0005551590777106381     0.00016259103140926285     
Lambda        AB|CNIa02|SDSS_i                      7424.307078078721     All      -5.432220643120176e-05     7.706737852584672e-06     -0.00019752633640947816    1.1390174656575873e-05     
Lambda        AB|CNIa02|SDSS_r                      6122.2573331763615    All      8.278175553518783e-05      -8.884106158545763e-05    -0.0001016324910488672     -6.0438589053531036e-05    
MWEBV         All|All|All                           All                   All      -0.8914892959099343        -4.080956716030393        0.04779702739377001        -1.0367815072858346        
Redshift      All|All|All                           All                   All      6.315993511617988          -2.298400461629413        5.257395601641512          -2.571378102873783         
