#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5429.813232041717     All      0.40867763990667216        0.6459264506702311        -0.7430019401616355        0.04412297881479315        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4340.195755544489     All      -1.0927802264493485        0.7061544847647205        0.15919096333399593        0.5930761801924516         
Zeropoint     AB|CNIa02|SDSS_i                      7424.307078078721     All      0.46677748888564885        -0.13798003612679466      0.45232080014716586        -0.1768044219518833        
Zeropoint     AB|CNIa02|SDSS_r                      6122.2573331763615    All      1.2145841116415883         -0.21776698870272782      0.13344509272219246        -0.4606088347366045        
Check         All|All|All                           All                   All      0.9972590139845611         0.9963339106054292        0.001954916041718824       -0.00021409768124314166    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5429.813232041717     All      -0.00012621349163898502    -1.390239819289459e-05    -0.0023682734672242868     -6.910174969499574e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4340.195755544489     All      -0.0003262442010525295     0.00011357898661466962    -0.0005021731250621801     0.00012085520180250179     
Lambda        AB|CNIa02|SDSS_i                      7424.307078078721     All      -0.00013418243392766398    4.170081686430645e-05     -0.00035770515259758354    4.132822308993534e-05      
Lambda        AB|CNIa02|SDSS_r                      6122.2573331763615    All      -0.0002423763605805927     1.1549187100276894e-05    -0.000700014035579471      5.147349342230686e-05      
MWEBV         All|All|All                           All                   All      -0.8999281262804226        -4.062770969672336        0.07462063478864939        -1.0269119923211296        
Redshift      All|All|All                           All                   All      6.729717733007457          -1.7486598653977836       10.944457859401            -2.273285625950262         
