#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4694.283779088327    All      1.0153861918505254         0.5041546233885086         2.043405495564739         -0.07533713862203502       
Zeropoint     AB|SDSS|SDSS_z            6768.073905349132    All      0.20308418777717172        0.03776384914750963        0.5974465821953654        -0.027188976178793817      
Zeropoint     AB|SDSS|SDSS_i            5692.639559388418    All      0.8977080465224612         0.14117521421894708        -1.895373210727258        -0.33100943393262167       
Zeropoint     AB|SDSS|SDSS_g            3592.469566934467    All      -1.117760795250019         0.3160035771404779         -0.734145767981626        0.43426267171889715        
Check         All|All|All               All                  All      0.9984176309001392         0.9990972638954432         0.011333099051220263      0.0007271229854466377      
Lambda        AB|SDSS|SDSS_r            4694.283779088327    All      -0.00032824681593924773    -0.0001248691793436325     -0.001776970914455929     -1.3051263415259624e-05    
Lambda        AB|SDSS|SDSS_z            6768.073905349132    All      -0.00010034595449632522    -1.879100424912413e-05     -0.000299659269790968     1.3192713448155854e-05     
Lambda        AB|SDSS|SDSS_i            5692.639559388418    All      -0.00016155345745773612    -2.2655750570516444e-05    0.0005686605519029442     7.062026139997493e-05      
Lambda        AB|SDSS|SDSS_g            3592.469566934467    All      -0.0017575400997194533     0.00043013776634563477     -0.0024134224171266268    0.0006048986954132705      
MWEBV         All|All|All               All                  All      -0.6200332819604504        -2.7979051130362365        -0.028288557287562625     -0.7106668936235121        
Redshift      All|All|All               All                  All      6.751270234149656          -0.07539056695442525       -0.7891488393049426       -2.2588841016576087        
