#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     AB|SDSS|SDSS_r            4694.283779088327    All      1.1488038768728968         0.5332720673163038         1.9570843221270784        -0.11316327603426157     
Zeropoint     AB|SDSS|SDSS_z            6768.073905349132    All      0.10929511695141256        0.021711489653952754       0.33327264358641306       -0.013656441409160003    
Zeropoint     AB|SDSS|SDSS_i            5692.639559388418    All      0.8453992888857718         0.1524172228485554         -1.6724763044290714       -0.30036199340195413     
Zeropoint     AB|SDSS|SDSS_g            3592.469566934467    All      -1.105077259212186         0.2914929390165355         -0.6079726895008686       0.4277778305430302       
Check         All|All|All               All                  All      0.9984210234978947         0.9988937188353475         0.009907971783551517      0.0005961196976544958    
Lambda        AB|SDSS|SDSS_r            4694.283779088327    All      -0.0004620369535829134     -0.00018930355463207504    -0.0017836609956447377    9.24164252361866e-06     
Lambda        AB|SDSS|SDSS_z            6768.073905349132    All      -9.508137680721947e-05     -1.9740042558535882e-05    -0.0003121928929923275    1.060941625691684e-05    
Lambda        AB|SDSS|SDSS_i            5692.639559388418    All      -0.00023291548482386355    -3.776695561442375e-05     0.00049707322073602       8.574839102614807e-05    
Lambda        AB|SDSS|SDSS_g            3592.469566934467    All      -0.0013210258631591383     0.0002157820023467327      -0.0029074714047214335    0.0003708417860127149    
MWEBV         All|All|All               All                  All      -0.6663649558794074        -2.784105158796457         0.06542772185748058       -0.6868979169454642      
Redshift      All|All|All               All                  All      6.295434395613116          0.8417365400443799         0.9621998681188848        -1.7335102519988432      
