#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5436.880262223789    All      0.4573104265362726         0.4384080654653122         0.08155900210050707        -0.002517517193221791      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4345.844622842453    All      -1.10718612754704          0.7921032622644653         -0.05281370530065821       0.6163042059235555         
Zeropoint     AB|CNIa02|SDSS_r                      6130.225595712658    All      1.2304140883858954         -0.16025821559422226       -0.49931673705993995       -0.4752699338623223        
Zeropoint     AB|CNIa02|SDSS_i                      7433.969989114433    All      0.41681716066324714        -0.07126803666603898       0.4782935934949672         -0.13764135994152302       
Check         All|All|All                           All                  All      0.9973555480383749         0.9989850754695162         0.007722153234876072       0.0008753949264883876      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5436.880262223789    All      4.700823548343776e-05      7.051448810088733e-06      -0.00016779373865882886    -2.0503103866322014e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4345.844622842453    All      -0.00033745006891023563    -1.9827055151125473e-05    -0.0021381600340546095     8.044002962094021e-06      
Lambda        AB|CNIa02|SDSS_r                      6130.225595712658    All      -0.0001427926517181679     1.4701544135675886e-05     3.6852031247888e-05        5.294557789407311e-05      
Lambda        AB|CNIa02|SDSS_i                      7433.969989114433    All      -0.00010360545909262546    2.4321044090341393e-05     -7.230570084527594e-05     3.8443199402985034e-05     
MWEBV         All|All|All                           All                  All      -0.9111039215651009        -4.056570701846951         0.1091944149804386         -1.019709167892355         
Redshift      All|All|All                           All                  All      5.117642488897056          -0.8195407611431005        -0.10767475221357442       -1.93874094172424          
