#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5436.880262223789    All      0.268377146100401         0.5279872384877038         0.2909710707436064         0.09754825051438987       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4345.844622842453    All      -0.9785318694459902       0.7301680383752895         -0.22286056892129036       0.5466345309052323        
Zeropoint     AB|CNIa02|SDSS_r                      6130.225595712658    All      1.2830805789826218        -0.168028317028579         -0.43745414415261585       -0.4921954767948239       
Zeropoint     AB|CNIa02|SDSS_i                      7433.969989114433    All      0.4220591029337143        -0.0906096231483744        0.374739873140828          -0.15027015096475416      
Check         All|All|All                           All                  All      0.994984958570747         0.9995173366860399         0.005396230810528202       0.0017171536600441017     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5436.880262223789    All      1.5975452132313707e-05    0.0001153739167078203      -0.00019853544491098502    2.3517624958534737e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4345.844622842453    All      -0.0005894874340658079    0.00013536465537773742     -0.002699842041943159      0.00011562662205124838    
Lambda        AB|CNIa02|SDSS_r                      6130.225595712658    All      0.0002153071260457366     -3.3703454999832786e-05    -7.82405605686791e-05      -8.460245532360861e-05    
Lambda        AB|CNIa02|SDSS_i                      7433.969989114433    All      -6.330990130630686e-05    2.4457650699052454e-05     2.8688800411092356e-05     2.9869028554292826e-05    
MWEBV         All|All|All                           All                  All      -0.8991077330423454       -4.063469028264599         0.11228662550666346        -1.0257257418657462       
Redshift      All|All|All                           All                  All      4.666734199419791         -1.970383088220995         2.6753117973529417         -2.0425405770043756       
