#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K3_R
@MAGSYS  Linear_AB11_off
53104.23  15.225  0.011
53107.28  15.511  0.055
53108.29  15.611  0.015
53109.35  15.664  0.029
53111.29  15.718  0.041
53118.28  16.038  0.042
53120.26  16.235  0.091
53122.25  16.418  0.043
53127.27  16.781  0.053
53129.3  16.804  0.044
53131.23  16.979  0.047
53133.29  17.038  0.052
53135.22  17.106  0.022
53137.21  17.16  0.022
53139.22  17.224  0.057
53147.21  17.512  0.031
53151.21  17.793  0.053
53155.21  17.946  0.073
53165.2  18.014  0.053
