#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7917.264153900127    All      0.39177785315018365        -0.1167122797428366       0.07199126109065179        -0.16241932577315993      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5396.970704208454    All      0.5436057959642229         0.6362964099101642        0.18373180849186874        0.0383914891561327        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6403.028120512218    All      1.2076760501273818         -0.2954521281899325       -0.04813776639965783       -0.4917664665518135       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4378.625328573663    All      -1.1445805647988219        0.7747589629282903        -0.20669860119770495       0.6159680193364908        
Check         All|All|All                       All                  All      0.9984791344429663         0.9988909649056854        0.0008867019851577784      0.00017371616765005093    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7917.264153900127    All      2.856364899283249e-06      5.6732016810887993e-05    0.00012617162758215536     2.3179532537576563e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5396.970704208454    All      4.859620859648509e-05      0.000434980808693412      -0.0015699109165026508     5.580026206386441e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6403.028120512218    All      -0.00030600837743795066    -9.659258101734857e-06    -0.0007128607135860372     6.471895816772923e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4378.625328573663    All      -0.0008856091539931122     0.0007024738053953522     -0.00042796318673754313    0.0004981928347900395     
MWEBV         All|All|All                       All                  All      -0.8473369004640743        -4.111798801648803        -0.0023903982690947493     -1.0634493113184347       
Redshift      All|All|All                       All                  All      4.8417296307047275         -4.441758286519537        0.11958453165535991        -3.018600923904717        
