#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7917.264153900127    All      0.5380659246692657         -0.16409202597893469      0.1327376388657875         -0.22279247365589172      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5396.970704208454    All      0.25625661532042737        0.7366225956266348        0.03138999789897845        0.1578717947942565        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6403.028120512218    All      1.203849183375607          -0.28383494954011823      -0.05973408993713569       -0.48725332353000417      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4378.625328573663    All      -0.9988095787430379        0.7081250161648178        -0.0981968259045729        0.5516226807032343        
Check         All|All|All                       All                  All      0.9993621446222622         0.9968206362723997        0.006196720923057342       -0.0005513216884051042    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7917.264153900127    All      -5.015021186400212e-05     8.211651298267313e-05     7.160628104203404e-05      4.6279083175711376e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5396.970704208454    All      0.00016991623628856412     0.00035622336289072894    -0.0007807659037280669     2.584436410143963e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6403.028120512218    All      -2.9542693801996136e-05    -5.445223080734981e-05    -3.232865451330969e-05     -9.556535072858992e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4378.625328573663    All      -0.0012568719028202356     0.0009463769724451315     -1.1139716501990071e-05    0.000717173529024298      
MWEBV         All|All|All                       All                  All      -0.7903959976383779        -4.152095021328073        0.012703512893219582       -1.0944490691932651       
Redshift      All|All|All                       All                  All      5.762188942401697          -5.3889134554784945       -1.4912551052757461        -3.6988287776231172       
