#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           6615.7891457597025    All      0.6294410955867054        -0.04885582182581061       0.18057717555259867        -0.21288529132306513      
Zeropoint     AB|MEGACAMPSF|g           3683.6502167565723    All      -0.5128061250764906       0.22366303080829653        -0.05620956677636624       0.2373838583832003        
Zeropoint     AB|MEGACAMPSF|i           5744.0115549741395    All      1.4230482672059244        0.0666986297680694         -0.01971841188752599       -0.44268764165030816      
Zeropoint     AB|MEGACAMPSF|r           4697.321741132851     All      -0.5498602740531721       0.759488388354157          -0.10120963634310254       0.42198141440662024       
Check         All|All|All               All                   All      0.9898229636629671        1.0009942271047123         0.0034395605456039036      0.0037923398164472766     
Lambda        AB|MEGACAMPSF|z           6615.7891457597025    All      -0.0002364971221585321    1.2315233111089112e-05     -0.00016548377894580913    7.366158877981934e-05     
Lambda        AB|MEGACAMPSF|g           3683.6502167565723    All      -0.0009846991257906716    0.00033565579647634383     -0.0007307480668617474     0.00039747310654949717    
Lambda        AB|MEGACAMPSF|i           5744.0115549741395    All      -0.000265076013616346     -7.986695745365338e-06     7.42341398553332e-05       8.705517753458023e-05     
Lambda        AB|MEGACAMPSF|r           4697.321741132851     All      -0.0002534724967669707    -0.00012148151654158821    -0.0013994004009204614     -1.945500804583739e-05    
MWEBV         All|All|All               All                   All      -0.4452652914929067       -2.7905168026368443        0.03344051356917177        -0.7624332771286518       
Redshift      All|All|All               All                   All      4.364199409768333         0.917827856942921          3.3780725379553678         -0.9718487345685756       
