#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           6615.7891457597025    All      0.6210724676276186         -0.061949936696592545     0.06233180891447732        -0.21970128550583964      
Zeropoint     AB|MEGACAMPSF|g           3683.6502167565723    All      -0.5723697967988668        0.2309540807384991        -0.17295061100948317       0.2539510240485559        
Zeropoint     AB|MEGACAMPSF|i           5744.0115549741395    All      1.4110599240494148         0.06182622886381495       -0.12901733705265125       -0.4452472541895157       
Zeropoint     AB|MEGACAMPSF|r           4697.321741132851     All      -0.46937869720726955       0.76985959137712          0.24086658135334887        0.4144094495862536        
Check         All|All|All               All                   All      0.990383897670897          1.0006899642828415        0.0012304422056917674      0.0034119339394541592     
Lambda        AB|MEGACAMPSF|z           6615.7891457597025    All      -0.00022359154885396914    1.4018191281786102e-05    -0.00012739861930681859    7.171209423150524e-05     
Lambda        AB|MEGACAMPSF|g           3683.6502167565723    All      -0.0010684627330655855     0.0003676061210852415     -0.0007137576323771559     0.00043592314609614224    
Lambda        AB|MEGACAMPSF|i           5744.0115549741395    All      -0.0002837596035313482     3.7860780322852104e-06    0.00010004191380835703     9.812749959458578e-05     
Lambda        AB|MEGACAMPSF|r           4697.321741132851     All      -0.00019213223666056487    -0.0001118036772784875    -0.0012545009697649556     -2.981696204420898e-05    
MWEBV         All|All|All               All                   All      -0.445858392923729         -2.7934771151759463       0.00820197845682305        -0.7643306355712158       
Redshift      All|All|All               All                   All      3.428921309117264          0.7677678754266282        2.0371483796417995         -0.7759166468012082       
