#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3934.751257238911    All      -1.183788134900011         0.5230709384997922        -1.0358939187111282       0.5097529662984948         
Zeropoint     AB|SDSS|SDSS_i            6235.020296198416    All      1.115985776041406          0.02788691829849199       -0.1285334061894683       -0.36016545094165187       
Zeropoint     AB|SDSS|SDSS_z            7412.919389288775    All      0.052245738810479045       0.0012262313944688685     0.04929771679854644       -0.014418801372836909      
Zeropoint     AB|SDSS|SDSS_r            5141.543625480338    All      1.013457893439465          0.4461077911152245        1.1111794382891338        -0.1352177587226805        
Check         All|All|All               All                  All      0.9979012733913388         0.9982918793079776        -0.003950169812916293     -4.904473867450854e-05     
Lambda        AB|SDSS|SDSS_g            3934.751257238911    All      -0.0010699763959505053     0.0004036003219842981     -0.0015101816131162212    0.00041259994688530333     
Lambda        AB|SDSS|SDSS_i            6235.020296198416    All      -0.00037064581241632384    3.3497982438757115e-06    0.00010476568400740485    0.0001264978857880176      
Lambda        AB|SDSS|SDSS_z            7412.919389288775    All      -1.1182403322368137e-05    1.460534450800276e-06     9.133485006360923e-06     4.525806260273571e-06      
Lambda        AB|SDSS|SDSS_r            5141.543625480338    All      0.00014883465637185566     4.655339932633444e-05     -8.376587480783417e-05    -3.7054456643060104e-05    
MWEBV         All|All|All               All                  All      -0.5732901414346094        -3.220412391874916        0.10677871287163576       -0.8574897611651117        
Redshift      All|All|All               All                  All      5.276633500914844          0.007867843056530432      -8.22210832550112         -2.083125243795429         
