#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3934.751257238911    All      -1.107172173151187         0.5660422430842971        -0.426873620623017        0.5259715733583488         
Zeropoint     AB|SDSS|SDSS_i            6235.020296198416    All      1.1368629739676166         -0.004216402517265294     -0.387331475154814        -0.3889719181045901        
Zeropoint     AB|SDSS|SDSS_z            7412.919389288775    All      0.06202527131362748        -0.0010450742955470105    0.05600167490379466       -0.01804498897307968       
Zeropoint     AB|SDSS|SDSS_r            5141.543625480338    All      0.9059025137556227         0.4374768076601754        0.7539400032898425        -0.11893678359763481       
Check         All|All|All               All                  All      0.99761858588568           0.9982575739316601        -0.004263417584193796     1.7882683044187497e-05     
Lambda        AB|SDSS|SDSS_g            3934.751257238911    All      -0.0011633564540187206     0.00044692784652172556    -0.0016511064623116174    0.00045084127531066923     
Lambda        AB|SDSS|SDSS_i            6235.020296198416    All      -0.000313465313111603      4.049323605223174e-06     -6.600057484139146e-07    0.00010339551007468844     
Lambda        AB|SDSS|SDSS_z            7412.919389288775    All      -1.3371195797870057e-05    4.146887147268161e-07     -9.470923413829695e-06    4.067872314300392e-06      
Lambda        AB|SDSS|SDSS_r            5141.543625480338    All      0.00014534918366440315     3.7691067153326454e-05    -0.0004632292668544334    -5.5739585039131624e-05    
MWEBV         All|All|All               All                  All      -0.5700285565647714        -3.2222066352758816       0.10720454420903469       -0.8591176078679064        
Redshift      All|All|All               All                  All      5.315214767548966          -0.06547570949955173      -6.271127560201495        -2.0325195285980855        
