#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_r          4309.452426203323    All      -0.29697456999300653      0.5706959169327064         0.06865923397155514       0.2856927693745329         
Zeropoint     AB|DECam|DECam_g          3242.446612190604    All      -0.42899690870634555      0.11400195691990689        -0.34415899847342163      0.16151435922976995        
Zeropoint     AB|DECam|DECam_z          6135.173223807125    All      1.0829684955905337        0.06805374544889276        -1.135326842940114        -0.3812555464574712        
Zeropoint     AB|DECam|DECam_i          5235.446436890884    All      0.6296209404525189        0.24699488939425862        1.4076285778460764        -0.061817894427800606      
Check         All|All|All               All                  All      0.9866179573437003        0.9997465086957646         -0.003198029595903984     0.004133687719031116       
Lambda        AB|DECam|DECam_r          4309.452426203323    All      -0.0001966493095055426    8.440003871070653e-06      -0.0012432671106068066    1.1323035577681021e-05     
Lambda        AB|DECam|DECam_g          3242.446612190604    All      -0.0010967453641299403    0.000253234611189059       -0.0012945214722462582    0.0003819643431991082      
Lambda        AB|DECam|DECam_z          6135.173223807125    All      -0.0002840949280237935    -2.9407693080748576e-05    -0.0002522357382927014    7.170388885893969e-05      
Lambda        AB|DECam|DECam_i          5235.446436890884    All      0.0001776078625563776     6.482728500318674e-05      0.00043542028336731475    -1.7305537046211312e-05    
MWEBV         All|All|All               All                  All      -0.44317102326085367      -2.334208960546391         -0.07350749524635361      -0.619253571379247         
Redshift      All|All|All               All                  All      4.167022844717507         -0.11949509111222056       -3.7651547269024026       -1.5642814766825268        
