#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7315.951714257066    All      0.5008714862928703         -0.060240732967820065      0.37297516507379597        -0.16612854125263204       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4573.531927205825    All      -1.0358859466314903        0.7176841772389864         -0.21546977413051743       0.5615800536855361         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5323.191104040251    All      0.6342981714889574         0.33237930960288153        0.43280549284307795        -0.07903078480995902       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6028.919392654259    All      1.2445911853293414         -0.1860280646305057        -0.5538041212602732        -0.49071349008876375       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4247.731272963056    All      -0.3449805356308827        0.19418076289188235        -0.03258619796311806       0.17416840045661822        
Check         All|All|All                      All                  All      0.9988943608487961         0.9979754521354245         0.003920564562965141       -0.00012436200920049045    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7315.951714257066    All      -0.000184217527663817      2.2377440762325007e-05     -0.00015977772497533654    6.016463195587e-05         
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4573.531927205825    All      -0.0003087544228404641     -1.3441594140884592e-05    -0.0012259888625094659     4.148285164032009e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5323.191104040251    All      0.00017241730932958038     -3.6802661923515326e-06    -0.0006683921279937857     -8.718804464400019e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6028.919392654259    All      -0.00011918696240265859    -3.214794651098777e-05     -0.00044769684361857406    8.372817041018301e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4247.731272963056    All      -0.00019346824196322677    8.256828534122046e-05      -0.00017276852384971888    8.220431255278038e-05      
MWEBV         All|All|All                      All                  All      -0.8257487414124922        -3.954163388543197         0.0667622496406258         -1.0160482797817392        
Redshift      All|All|All                      All                  All      5.802376254358483          -0.8615587916745326        3.576932902700568          -2.0110407942550617        
