#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7315.951714257066    All      0.5586287915074539         -0.0683884989991057        0.43162195648138724        -0.1849788542243028        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4573.531927205825    All      -1.0681476745707599        0.6956817018333616         -0.3515971821183017        0.5588470887472033         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5323.191104040251    All      0.6335461548138596         0.323761188506122          0.4689019719717802         -0.07998221372886113       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6028.919392654259    All      1.2964602211759355         -0.18420560613483516       -0.4962429263201562        -0.5044466150542776        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4247.731272963056    All      -0.42191846791323334       0.23141132854087587        -0.04848608429380841       0.2106472973634715         
Check         All|All|All                      All                  All      0.998569025013256          0.9982601137464187         0.004197735720901097       8.670310323327657e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7315.951714257066    All      -0.00019405736425658922    2.145790821994917e-05      -0.00020770266147742954    6.093159864955393e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4573.531927205825    All      -0.00029119764455871585    -2.4658528558658372e-05    -0.001156458875419675      3.5213110771192826e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5323.191104040251    All      0.000262184062757418       -1.3875479988527249e-05    -0.0005479709086263356     -0.00011437510007418673    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6028.919392654259    All      -0.00017761037607946401    -3.5496756639890574e-05    -0.0005799165242860506     2.0412070232047063e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4247.731272963056    All      -0.00023512647635712814    9.015507575640871e-05      -0.00021283305427061556    9.645714126334284e-05      
MWEBV         All|All|All                      All                  All      -0.8326244012227542        -3.9532555007140147        0.06238921135778286        -1.0137080708583859        
Redshift      All|All|All                      All                  All      5.721283594490605          -0.7390129859070171        3.655815273536678          -1.9411888885742987        
