#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5184.045365730233    All      -0.2522434644601519        0.5855154221904968        -2.0928174777594952        0.17949279876143254        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    5987.052348354262    All      1.152117808850388          0.027088441429690135      -2.6991665813267285        -0.4869104850366318        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7289.178485096434    All      0.8598738080774403         -0.19106019111001515      3.070802250110005          -0.20528797749914812       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4187.515630134172    All      -0.7632140141731607        0.5866886305784469        1.7482588458222148         0.5177244647000818         
Check         All|All|All                                All                  All      0.9965341382945156         1.0082323030886187        0.027077036845996716       0.005018800925734368       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5184.045365730233    All      -9.420282513050567e-05     7.625443262214521e-05     -0.0019833663246062723     -3.2984993067885494e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    5987.052348354262    All      -0.0003330993161842293     9.227686261225372e-05     4.104061055687311e-05      0.00014039046985106667     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7289.178485096434    All      -0.00043971263098763945    0.00018850990083283403    -0.001613504562268264      0.00013262944846570727     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4187.515630134172    All      -0.00043819014056812943    0.00019844972405186828    -0.00022731749167532108    0.00019723041311416246     
MWEBV         All|All|All                                All                  All      -0.7757831040216345        -3.876322941311283        0.43252703053364705        -0.9906461348881235        
Redshift      All|All|All                                All                  All      10.107144406195664         -1.7610278598167106       23.77064252694124          -2.8050795569450893        
