#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5184.045365730233    All      -0.32010221095677843       0.6511396012789383        -2.071378325839823         0.22392930996601337       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    5987.052348354262    All      1.117632486832094          0.10207789767902042       -2.9063725201381243        -0.46049759752833763      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7289.178485096434    All      0.9091190646246483         -0.27324203617169474      3.250170979628844          -0.24009370572872682      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4187.515630134172    All      -0.7146241677536525        0.5383251929493404        1.6951278633495908         0.48377259869116834       
Check         All|All|All                                All                  All      0.9920251727463113         1.0183006557356045        -0.032452002999512786      0.007110605400117265      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5184.045365730233    All      -0.00017293596123184752    0.00012633306621550355    -0.002393466033204347      -9.327628371871178e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    5987.052348354262    All      -0.00025215867124067       6.658735465476717e-05     -0.00014505264363367867    9.735303378424209e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7289.178485096434    All      -0.0004427704971766748     0.0002626731609913706     -0.001819809543072648      0.00014857646604791292    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4187.515630134172    All      -0.00047429481273298984    0.00022931639515894685    -0.0001093534134573818     0.00022430937793103435    
MWEBV         All|All|All                                All                  All      -0.7703095021703001        -3.884814890124222        0.43041240230189093        -0.9952895403382941       
Redshift      All|All|All                                All                  All      10.042210686662767         -2.2882525197482018       25.93903485012725          -2.8588975348350276       
