#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           6565.362399009015    All      0.6220370321662281         -0.01158286276776721       0.7556100550349553         -0.172671438890621        
Zeropoint     AB|MEGACAMPSF|r           4657.049243885675    All      -0.3387931283781448        0.7406257574452013         0.5912527903979047         0.37798713944881407       
Zeropoint     AB|MEGACAMPSF|g           3647.833819984331    All      -0.5838922571957667        0.22605923104599412        -0.11443852260050397       0.25872098066628396       
Zeropoint     AB|MEGACAMPSF|i           5694.006737378261    All      1.2891381318801494         0.045715403645907315       -1.2319767157772765        -0.46000115253932544      
Check         All|All|All               All                  All      0.9884897784724661         1.0008175293693355         0.000447607055079402       0.0040355286851516126     
Lambda        AB|MEGACAMPSF|z           6565.362399009015    All      -0.0001402788147498246     1.0549262592714367e-06     -0.00018913356135787866    3.759688700425624e-05     
Lambda        AB|MEGACAMPSF|r           4657.049243885675    All      -0.0002684807084469224     -0.00016930839260208063    -0.0022980105346845927     -7.024596983939655e-05    
Lambda        AB|MEGACAMPSF|g           3647.833819984331    All      -0.0008095298597343454     0.0003307016216097386      -0.0001420279795324672     0.0003650728495596534     
Lambda        AB|MEGACAMPSF|i           5694.006737378261    All      -0.00015519893745979545    -3.5267134416037236e-06    0.00033478813780332293     6.434469019454299e-05     
MWEBV         All|All|All               All                  All      -0.4696001095226521        -2.7492226608410775        -0.041556889125559035      -0.7444025554164909       
Redshift      All|All|All               All                  All      3.328481072656517          0.8419830063262523         4.215334015478294          -0.6218232267784164       
