#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           6565.362399009015    All      0.591218216493358          -0.00551883682327059       0.8281486988286568         -0.15742041745182497       
Zeropoint     AB|MEGACAMPSF|r           4657.049243885675    All      -0.1928757354486994        0.7262581374300581         1.0032959439885802         0.3441646310114635         
Zeropoint     AB|MEGACAMPSF|g           3647.833819984331    All      -0.7031689614439267        0.24311344369891685        -0.32146144429455736       0.2938899632815926         
Zeropoint     AB|MEGACAMPSF|i           5694.006737378261    All      1.2934283886201674         0.03662899005387743        -1.5110152521461861        -0.47681058244635754       
Check         All|All|All               All                  All      0.9886019082208996         1.0004817343595818         -0.001032053623506446      0.003823594394873564       
Lambda        AB|MEGACAMPSF|z           6565.362399009015    All      -0.000111225859269375      -6.10725641300362e-07      -0.00020482031477342535    2.6890798209809568e-05     
Lambda        AB|MEGACAMPSF|r           4657.049243885675    All      -0.00026355355872501095    -0.00014965628755780213    -0.0021984386288680523     -6.1006130614890673e-05    
Lambda        AB|MEGACAMPSF|g           3647.833819984331    All      -0.0010706723444021148     0.00038509704794736937     -0.0005186884634422596     0.00045104530060517743     
Lambda        AB|MEGACAMPSF|i           5694.006737378261    All      -0.00011405712625485021    -7.430520635237948e-06     0.00026021467870096385     4.634397934906981e-05      
MWEBV         All|All|All               All                  All      -0.4743177370972784        -2.750950528969831         -0.06798429112606641       -0.7446080259794214        
Redshift      All|All|All               All                  All      3.9441834816689765         0.7123675595826384         7.394853797479938          -0.7227104077627319        
