#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6252.787675845448    All      0.5172136815068569         -0.03753273704099058      -0.14739559715335956      -0.1872767476735693        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7801.718843759755    All      0.24068182492732426        -0.05270962794048373      0.1404447979001124        -0.08929984220048619       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6309.581715840012    All      0.8149136162265684         -0.12166082719620164      0.20694558026694776       -0.2958380778261232        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4314.72325182796     All      -0.7113498505404301        0.5555421310408981        0.659306592914922         0.44209022306536566        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5285.388375148104    All      0.05665265295669723        0.16766822552654048       -0.8621380830012734       -0.002311838697502025      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5318.206797672749    All      0.36998431707002205        0.31411493992195005       0.6723898674975055        0.011807177426412466       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4340.206235272686    All      -0.4027747999761443        0.18596942943815975       -0.7292469735696346       0.15923042150985803        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8075.205165824662    All      0.11245100251613015        -0.015046490469572404     0.06383442660287313       -0.03868149073000291       
Check         All|All|All                       All                  All      0.9977724446870245         0.9963450432803           0.004140611458093232      -0.0002801751260474508     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6252.787675845448    All      -8.337505200613005e-05     5.35306742105862e-06      2.2814357676836664e-05    2.9919767566421924e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7801.718843759755    All      -3.0922507509035644e-05    6.451698670204399e-06     -1.132943508362427e-06    1.2123450462082865e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6309.581715840012    All      -0.00023480057086376822    2.388923602938901e-05     -0.0003583508207876884    6.827222946099151e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4314.72325182796     All      -0.0003788209742764117     0.00010067930265900923    -0.000923687449361782     0.00011496908676640285     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5285.388375148104    All      7.652448916256405e-05      1.1680854192819767e-05    -0.0002803747421325381    -3.363354222863258e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5318.206797672749    All      9.34402058698127e-05       -7.070867640217422e-05    -0.0013266522780032847    -0.00011267108936756904    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4340.206235272686    All      -0.0002742415321555967     7.221720217426202e-05     -0.0006967313037823607    8.17610898083633e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8075.205165824662    All      -1.0501162452219056e-06    1.8172296054216798e-06    2.4772231568796076e-05    2.0394597966021654e-06     
MWEBV         All|All|All                       All                  All      -0.8322487443780795        -4.015553152153473        0.06791674786973739       -1.0338761606896545        
Redshift      All|All|All                       All                  All      4.831884592746892          0.10456075633973327       6.811579830262043         -1.2358753744824948        
