#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6252.787675845448    All      0.33452956692689556        -0.027822823500844862      -0.12386796108092568       -0.12355775279994374       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7801.718843759755    All      0.48298614111406263        -0.1572875223876835        0.1925539804321863         -0.1999653968021292        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6309.581715840012    All      1.061804484187818          -0.28842605143872824       0.0126587964322189         -0.4392496027737239        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4314.72325182796     All      -0.8344279526757292        0.6777002851352076         0.6553690218274677         0.5217960240395114         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5285.388375148104    All      -0.021272879974818235      0.10986747022938559        -0.6955247358059302        0.011678651921430416       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5318.206797672749    All      0.26022261085526394        0.40879254432448775        0.9062193624506998         0.0888345231677426         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4340.206235272686    All      -0.35239412708118123       0.20400012030128423        -1.0303441985933914        0.13525638181601657        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8075.205165824662    All      0.1553930479174479         -0.034256193712178806      0.06467305910538013        -0.058888935678237664      
Check         All|All|All                       All                  All      1.0868408912697591         0.8925678289509298         -0.018262675232294523      -0.06409610710933344       
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6252.787675845448    All      7.047915114885484e-05      -3.225541619211236e-05     1.4344702996688924e-05     -3.282389023792209e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7801.718843759755    All      -4.743409537015473e-05     6.4876758423621125e-06     -3.3090912545226324e-05    1.6087399411668026e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6309.581715840012    All      -5.595889620165364e-05     -1.404730923807305e-05     -5.379999505410788e-05     1.1251136039468344e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4314.72325182796     All      -0.0006984261820237478     0.00035693673336233015     -0.00029534648717194356    0.0003305864647047302      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5285.388375148104    All      0.00014557961006104862     -3.7518933675275436e-05    -0.0006715364904308559     -8.960880877047274e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5318.206797672749    All      0.0002768064428879769      3.981419749879754e-05      -0.0004925009943844861     -9.917422854066904e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4340.206235272686    All      -0.00024960340930492604    -5.087642017117918e-05     -0.0015553455847714024     -4.676011719848623e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8075.205165824662    All      -8.336910017346305e-07     -5.137299912029849e-06     3.0472656857505293e-05     -4.1972286911072614e-08    
MWEBV         All|All|All                       All                  All      -0.7603072579824235        -4.076878309508558         0.03028473317856495        -1.0789648348796976        
Redshift      All|All|All                       All                  All      4.5391687421143425         -1.6739312298362563        3.7348043806349374         -1.8571438996102974        
