#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                   dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5766.924334558909    All      -2.031971317107482       2.7053482081981883         -0.22282653291127996      1.5331570978165554         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6905.89759270304     All      3.028127874750937        -1.6985240535063895        0.2270068196749353        -1.5294957635054922        
Check         All|All|All                            All                  All      0.9961565576434557       1.0068241546917989         0.004180286763655339      0.0036613343110631913      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5766.924334558909    All      0.000263320252169809     -0.00035953362061089345    -0.0004131731224813511    -0.00022132201646926633    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6905.89759270304     All      -0.002287241370624039    0.0011197166432079058      -0.0026651236571977334    0.0009908260823439268      
MWEBV         All|All|All                            All                  All      -0.5474491649603093      -3.4979408372375786        -0.037876741257836244     -0.9627624709542649        
Redshift      All|All|All                            All                  All      11.877627650518386       -5.848418285506085         12.82786463241452         -5.20150764865918          
