#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4778.745931587093     All      -1.1852214714662666       1.0901679287416144         0.10910798118763942       0.7460381738210383         
Zeropoint     AB|PS|PS_z                8447.505839348363     All      0.40944844929777446       -0.057543122312342376      0.1549898773478109        -0.14519803205650383       
Zeropoint     AB|PS|PS_r                6068.6829235669275    All      1.2119431202558522        0.18586252751413568        -0.4973612628113244       -0.35642315496640653       
Zeropoint     AB|PS|PS_i                7350.4893557672995    All      0.5614003420574645        -0.22927880373613263       0.20849950389014715       -0.24824583510118792       
Check         All|All|All               All                   All      0.9975704401448245        0.9892085302072751         -0.024763900385726956     -0.003828848303059962      
Lambda        AB|PS|PS_g                4778.745931587093     All      -0.000433075601718549     -1.3411798651923902e-05    -0.0007378821355634504    0.00010377001644769786     
Lambda        AB|PS|PS_z                8447.505839348363     All      0.00038684221018356574    -8.791837275129245e-05     0.00010283516418966172    -0.0001500560799481676     
Lambda        AB|PS|PS_r                6068.6829235669275    All      -0.0001331569830189177    -6.398451210640566e-05     -9.153403763071427e-06    2.2123275113019956e-05     
Lambda        AB|PS|PS_i                7350.4893557672995    All      -2.604026649370935e-05    6.669539122753242e-06      -0.0005618848501677039    -1.4419680409287574e-05    
MWEBV         All|All|All               All                   All      -0.6881962772087991       -4.061293017194778         0.06028911058009179       -1.096038153692673         
Redshift      All|All|All               All                   All      5.6649393086564475        1.1675158757168624         4.033254219991256         -1.2849731611728934        
