#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4778.745931587093     All      -1.1080689702219444       1.224217486123358         0.07658364306238338        0.7631200050308954         
Zeropoint     AB|PS|PS_z                8447.505839348363     All      0.4139359089304644        -0.07344226154550881      0.16692163492626827        -0.15130615846614803       
Zeropoint     AB|PS|PS_r                6068.6829235669275    All      1.1633509317796584        0.0531614601636754        -0.5485669776734734        -0.38610525979063487       
Zeropoint     AB|PS|PS_i                7350.4893557672995    All      0.5304075424827651        -0.20405319437051261      0.3036780613168591         -0.22568626789995702       
Check         All|All|All               All                   All      0.9996254129709438        0.9998834903710119        -0.0013836383679626807     2.231887415546363e-05      
Lambda        AB|PS|PS_g                4778.745931587093     All      -0.0004364002680892463    0.00013728255682831899    -0.0007237636815220856     0.00015456912070001288     
Lambda        AB|PS|PS_z                8447.505839348363     All      0.0005007355430135132     1.804108102747824e-05     -0.00012275352965632175    -0.00016270739268695473    
Lambda        AB|PS|PS_r                6068.6829235669275    All      -0.0001728798110917699    8.005862354229798e-05     -0.0010239104181813197     3.66979502746668e-05       
Lambda        AB|PS|PS_i                7350.4893557672995    All      -6.029505566594039e-05    8.96532713598076e-05      -0.0008988897308173232     8.729783030545503e-06      
MWEBV         All|All|All               All                   All      -0.6761108654944161       -4.052139079138772        0.07750449937544224        -1.0962247873713098        
Redshift      All|All|All               All                   All      4.807066769456404         -1.2141642014608323       9.215682209562095          -1.5500594489274364        
