#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                  dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4470.333964037275    All      -2.4134721086072255     1.017689639361663         -0.0345564815854571        1.1161001661210688         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5353.229341994638    All      3.4109290701356483      -0.015637302775139972     0.035085921354394145       -1.114579674816038         
Check         All|All|All                            All                  All      0.9974569615284228      1.002052336586523         0.0005294397689370456      0.0015204913050308466      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4470.333964037275    All      9.64645070928009e-05    -0.000194694085387295     -0.0012268190492722066     -0.00014958723199686913    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5353.229341994638    All      0.000586705553612005    -3.112238234816086e-05    -0.00033680966920933826    -0.00021627715330353265    
MWEBV         All|All|All                            All                  All      -0.13158110822528668    -2.4286922002778155       -0.004224260179763739      -0.7484331647222009        
Redshift      All|All|All                            All                  All      -0.6728802076864824     0.4333984260268764        -0.9365706390168871        0.3185565003804708         
