#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4470.333964037275    All      -2.476451936165593        1.0280183636941942        -0.2933440105961408        1.1284306744000379         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5353.229341994638    All      3.4731508628155563        -0.0260151566090272       0.29074386617813025        -1.1268189282599934        
Check         All|All|All                            All                  All      0.9966989266499632        1.002003207085167         -0.0026001444180105415     0.0016117461400444455      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4470.333964037275    All      -0.0001723963539496882    -8.467733610436834e-05    -0.0012871270301651457     -2.8865597813454422e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5353.229341994638    All      0.0008262556284346747     -5.175646154957965e-05    -0.00043951687535292766    -0.00030561104296664675    
MWEBV         All|All|All                            All                  All      -0.13336526336582555      -2.4284322014350934       -0.0030115808557192284     -0.7477132002105868        
Redshift      All|All|All                            All                  All      -1.4478620111045781       0.01768151295227227       -2.36865792878596          0.37167341622578953        
