#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                   dmB/dP                    ds/dP                    dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           4482.148296240295     All      1.266543930552881        0.4477993573749117        1.6914083068839958       -0.1912122590015837        
Zeropoint     AB|MEGACAMPSF|i           3894.4107688666495    All      1.2996211609601165       0.7718840918434111        -1.021807876159797       -0.21749991796436405       
Zeropoint     AB|MEGACAMPSF|r           3178.3462016023955    All      -1.5645232036484282      -0.21935148359943923      -0.6562396996555198      0.40888172025934294        
Check         All|All|All               All                   All      1.0016418878645694       1.0003319656188836        0.013360731068678966     0.00016954329339519125     
Lambda        AB|MEGACAMPSF|z           4482.148296240295     All      0.0004222102728927402    0.00014507243790900352    0.0005449042682190724    -6.595633558232044e-05     
Lambda        AB|MEGACAMPSF|i           3894.4107688666495    All      0.001460906994472412     0.0008753957798794414     -0.001080994754703571    -0.00023896009641282084    
Lambda        AB|MEGACAMPSF|r           3178.3462016023955    All      -0.004697755628167939    -0.0008390690570571011    -0.004863156056258921    0.001039880844105331       
MWEBV         All|All|All               All                   All      -0.611477229104474       -1.5935850030246002       0.10622427065482554      -0.3151645110229365        
Redshift      All|All|All               All                   All      8.945362312635353        2.021914158180138         9.439282559973034        -1.833963010989873         
