#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_g          3448.951368059197    All      -0.533032980920794         0.23722347683303724        -0.05688036065238378      0.24835955972132076       
Zeropoint     AB|DECam|DECam_z          6525.909787990019    All      0.8045151233687473         0.1267356127135244         1.1493942070539775        -0.16948290041981368      
Zeropoint     AB|DECam|DECam_i          5568.881252516984    All      0.8234098302989541         0.21959432697435943        -0.6068348059084294       -0.2237628246690715       
Zeropoint     AB|DECam|DECam_r          4583.912587815422    All      -0.10067183786927786       0.4152238076443382         -0.480610360312983        0.14659675118916526       
Check         All|All|All               All                  All      0.9942201348776295         0.9987772241652593         0.005068680180181362      0.0017105858216008574     
Lambda        AB|DECam|DECam_g          3448.951368059197    All      -0.0007249371597875677     0.00020410058571498048     -0.0010936607311188941    0.00025381310271637125    
Lambda        AB|DECam|DECam_z          6525.909787990019    All      -0.00021213602225385195    -4.3785348457597454e-05    -0.0003974128098797623    3.71026445741782e-05      
Lambda        AB|DECam|DECam_i          5568.881252516984    All      -7.781346616259776e-05     -2.0208076576303177e-05    -0.0005259111613802785    -4.705029160522342e-06    
Lambda        AB|DECam|DECam_r          4583.912587815422    All      -0.0004166694334733671     -0.00021198743445676626    -0.0023573399007124096    -3.852559198078154e-05    
MWEBV         All|All|All               All                  All      -0.5137063546700784        -2.507236513141997         0.12882796211612924       -0.6436093575446284       
Redshift      All|All|All               All                  All      4.250758472355893          0.49171552709843525        -0.8886443510980446       -1.2641000721035474       
