#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6025.973912377979    All      0.9407666737208232         -0.03776252828027182      -1.5357099858407237       -0.3872708371535095       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5217.746616673795    All      -0.03669263445727122       0.5842114467808912        -0.8369980628458226       0.16489750704504388       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4214.738485091068    All      -0.8044275105537302        0.6076464732522879        0.7223556107120155        0.4921943656265682        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7336.565113871438    All      0.8925968570531642         -0.1586974099166305       1.6305952289202716        -0.2696751532924161       
Check         All|All|All                                All                  All      0.9922433857629859         0.9953979818362768        -0.01975720905425904      0.0001458822256864556     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6025.973912377979    All      -0.00023845198774659674    -7.745105758202476e-06    -0.0006351000266582781    4.680722421374924e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5217.746616673795    All      -0.00019603038205363323    9.287310474884763e-05     -0.0013736335488819756    3.280641387806195e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4214.738485091068    All      -0.0002815209001307068     0.00019941387670059679    0.00021776860259865963    0.00016637429165710749    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7336.565113871438    All      -0.0004120631383131363     4.116278433883034e-05     -0.0013359676319231902    8.801249416237444e-05     
MWEBV         All|All|All                                All                  All      -0.781754096186773         -3.906195726469086        0.21181488798972994       -1.0082811044389968       
Redshift      All|All|All                                All                  All      9.183720714584375          -0.2950267647909399       15.260089070899626        -2.4065522073817807       
