#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6025.973912377979    All      0.8635134479482669         -0.0630651164680529       -2.4285793725884184       -0.41019346529672096      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5217.746616673795    All      -1.142122376260218         1.223850267708837         -0.9745419115436693       0.7271857987255936        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4214.738485091068    All      -0.42868644425396657       0.3425601832308445        0.059050155335782506      0.25385553705726815       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7336.565113871438    All      1.6261997883794876         -0.48478975585117823      3.485863920706583         -0.532060647261845        
Check         All|All|All                                All                  All      0.9189044158135702         1.0185555786204503        0.14179279191027794       0.03878722322429584       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6025.973912377979    All      0.0003215333734177993      -7.265318625190683e-05    -0.0005480725689612612    -0.0001528574923835176    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5217.746616673795    All      -0.000852333946168807      0.0009481302400580232     -0.0002717970268992886    0.0005743413659744716     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4214.738485091068    All      -0.0004346252206035557     0.0003656073409308029     0.0001558245186946314     0.00026761580475424205    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7336.565113871438    All      -0.00032187832041049897    1.3936830759523682e-05    -0.0018055770730281472    2.881143067269266e-05     
MWEBV         All|All|All                                All                  All      -0.7545181545650657        -3.959699735966815        -0.030424490049785202     -1.045390793660772        
Redshift      All|All|All                                All                  All      8.448106241822828          -4.76324032571398         11.976852863689924        -3.7688982818277816       
