#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7847.5356803962695    All      -0.13323105402554763       -0.3451616956494874        0.6749698890849087         -0.038911976162640804     
Zeropoint     AB|SDSS|SDSS_g            4165.44403940011      All      -0.027426344188451246      1.1408553855774883         -3.1759830927440724        0.23881825604560314       
Zeropoint     AB|SDSS|SDSS_u            3167.764164326627     All      -0.40759484553057124       -0.16044808453568038       1.2570262538348476         0.13659913933884854       
Zeropoint     AB|SDSS|SDSS_r            5442.990127691398     All      0.9903623396859088         0.7758258307150712         0.07122618036869977        -0.06670310171346117      
Zeropoint     AB|SDSS|SDSS_i            6600.576867612004     All      0.577525542685651          -0.431849104779225         1.3511449761632655         -0.2684911354171038       
Check         All|All|All               All                   All      0.9996356386269897         0.9792223313281667         0.1783842067076491         0.0013111820912459216     
Lambda        AB|SDSS|SDSS_z            7847.5356803962695    All      -3.7948349939643604e-05    -2.616884995063464e-05     1.546261328793248e-05      4.526996094285249e-06     
Lambda        AB|SDSS|SDSS_g            4165.44403940011      All      -0.00012060812752947398    0.0006693739178666308      -0.0025967285102920664     0.00014144307475116993    
Lambda        AB|SDSS|SDSS_u            3167.764164326627     All      -0.0002831407292556098     -0.00018754726103799996    0.0008590111247298531      6.947165873146572e-05     
Lambda        AB|SDSS|SDSS_r            5442.990127691398     All      -3.5783342493982325e-05    4.2525493722002724e-05     -0.00024191330612292802    1.4712284455095735e-05    
Lambda        AB|SDSS|SDSS_i            6600.576867612004     All      -6.417871948007653e-05     0.00013803891270203734     -0.00019752160932247825    5.7054453324082855e-05    
MWEBV         All|All|All               All                   All      -1.201901599127369         -3.763696306421238         1.9890156703962214         -0.7457001825568688       
Redshift      All|All|All               All                   All      0.2619171251970014         -0.7344497634260705        -3.6080635087618385        -0.4855607782812521       
