#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7847.5356803962695    All      0.14151390589594054       0.02782740982958387       0.8007516121142751         -0.0012975652139091103    
Zeropoint     AB|SDSS|SDSS_g            4165.44403940011      All      -1.2554305162048491       0.4018421200491673        -5.145212008116063         0.31022103945997254       
Zeropoint     AB|SDSS|SDSS_u            3167.764164326627     All      0.07944987994357594       0.13364171974181716       1.988792949422543          0.10640276021795753       
Zeropoint     AB|SDSS|SDSS_r            5442.990127691398     All      1.1300661732879658        0.5019594268578231        1.9061125066298565         -0.11953398469767172      
Zeropoint     AB|SDSS|SDSS_i            6600.576867612004     All      0.9349022428808005        -0.040575807730647284     0.5562691543728826         -0.29292155585093255      
Check         All|All|All               All                   All      1.0305016858034337        1.0246948687477442        0.1067142144234936         0.0028706939154166666     
Lambda        AB|SDSS|SDSS_z            7847.5356803962695    All      -4.05105997275449e-05     -6.515526991253258e-06    -0.00024482039277848593    1.481038845729864e-07     
Lambda        AB|SDSS|SDSS_g            4165.44403940011      All      -0.0005637131339749858    0.00013606884610007226    -0.002253295249286369      0.00012738779508886822    
Lambda        AB|SDSS|SDSS_u            3167.764164326627     All      7.619074401485153e-05     0.00012574804880313662    0.0020014531659500443      0.00010545810701089291    
Lambda        AB|SDSS|SDSS_r            5442.990127691398     All      2.5181791139313913e-05    4.252465855278535e-05     -6.959394194038586e-05     2.5434844845728254e-06    
Lambda        AB|SDSS|SDSS_i            6600.576867612004     All      -9.657736170455833e-05    -6.784604700908089e-07    -5.0108089127274526e-05    2.900133323258336e-05     
MWEBV         All|All|All               All                   All      -0.49931434216301707      -3.3015944638805195       3.004793943106423          -0.7787046747595838       
Redshift      All|All|All               All                   All      -0.6675558353757554       -2.138687917683413        -12.708364706605296        -1.0463120674633821       
