#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6363.722406025285     All      0.1514490223564553        0.022652333717054773       0.08795171925892997        -0.03802843749215867       
Zeropoint     AB|SDSS|SDSS_g            3377.841228653887     All      -0.8893835155791394       0.1645661216823413         -0.06360618867508841       0.3404676187013009         
Zeropoint     AB|SDSS|SDSS_i            5352.5387606767345    All      1.1912108346122974        0.2815501508598217         -0.08363382971892368       -0.30003860534982674       
Zeropoint     AB|SDSS|SDSS_r            4413.828702670531     All      0.5399173416581334        0.529485579766309          0.059438249355323915       -0.0007455119642166549     
Check         All|All|All               All                   All      0.9931936830477465        0.9982541860255267         0.00014995022024179988     0.0016550638950988132      
Lambda        AB|SDSS|SDSS_z            6363.722406025285     All      -4.201963053718261e-05    -6.3286608842205115e-06    -5.3075920683430945e-05    9.257188442779174e-06      
Lambda        AB|SDSS|SDSS_g            3377.841228653887     All      -0.0013663293533455981    0.0002366625047741678      -0.00012651839330634067    0.0005165012502399991      
Lambda        AB|SDSS|SDSS_i            5352.5387606767345    All      0.0003192121924495261     6.265488732096902e-05      -0.0004718577307909402     -0.00010462599812603123    
Lambda        AB|SDSS|SDSS_r            4413.828702670531     All      -0.0004544324081076881    -0.00019332287125737755    -0.00321843529142315       -5.857201891682769e-05     
MWEBV         All|All|All               All                   All      -0.6876040695527448       -2.558681370086191         -0.049118754488593076      -0.6116633778170631        
Redshift      All|All|All               All                   All      1.9449846052967659        0.7725628996706035         -1.4746183245142936        -0.4477017641969448        
