#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6363.722406025285     All      0.19711048873997924       0.0320321048539185         0.09026433482968166       -0.049743377854851584     
Zeropoint     AB|SDSS|SDSS_g            3377.841228653887     All      -0.8370821828288979       0.20491592396734148        0.8976949117795119        0.37947306505212786       
Zeropoint     AB|SDSS|SDSS_i            5352.5387606767345    All      0.968078096205444         0.20814581858363823        -1.6040222016834527       -0.31911508770437746      
Zeropoint     AB|SDSS|SDSS_r            4413.828702670531     All      0.6623368486927445        0.5534096141492029         0.6101813955932567        -0.008251590666861694     
Check         All|All|All               All                   All      0.9904432508092699        0.9985034615541011         -0.005881559481002441     0.0023630088260370857     
Lambda        AB|SDSS|SDSS_z            6363.722406025285     All      -6.807697600794474e-05    -1.0497848303808974e-05    -0.0001748699107067758    1.0951775223878656e-05    
Lambda        AB|SDSS|SDSS_g            3377.841228653887     All      -0.0010888368762570853    0.00032504546652532243     0.002124213897725524      0.0005553419044856041     
Lambda        AB|SDSS|SDSS_i            5352.5387606767345    All      0.0002958893706091388     5.422992776831162e-05      0.000607418835774396      -5.161011802597228e-05    
Lambda        AB|SDSS|SDSS_r            4413.828702670531     All      -0.000437496246843857     -0.000192888573465207      -0.003497573803191128     -7.6403888488122e-05      
MWEBV         All|All|All               All                   All      -0.7055032876720726       -2.551394775851179         0.022816044974049987      -0.6002494104292058       
Redshift      All|All|All               All                   All      0.3896942879786227        0.2156454153535492         -14.664656318233416       -0.7111097030042514       
