#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5024.355833091609     All      1.2358476708552981        0.4077214778742899         0.9895181785040723         -0.22559029398239422      
Zeropoint     AB|SDSS|SDSS_i            6092.909615586979     All      0.9039383155405453        0.06318165220697836        -0.5713233267872604        -0.299357641401766        
Zeropoint     AB|SDSS|SDSS_g            3845.0690825804154    All      -1.2470908977627575       0.5187584365666353         -0.5654409993873827        0.5499621880825151        
Zeropoint     AB|SDSS|SDSS_z            7243.961636196639     All      0.10646519199751564       0.009005121745353506       0.14504621316400124        -0.025273204901854713     
Check         All|All|All               All                   All      0.9991602806306016        0.9986666883932571         -0.002199934506569523      -0.0002589522034998244    
Lambda        AB|SDSS|SDSS_r            5024.355833091609     All      -0.0001848638630184887    -5.5476775821831104e-05    -0.0007124573002036163     1.0351933898619602e-05    
Lambda        AB|SDSS|SDSS_i            6092.909615586979     All      -0.0001601273820561224    -1.6038157214749616e-05    -2.1658461442728464e-05    4.5968083265055045e-05    
Lambda        AB|SDSS|SDSS_g            3845.0690825804154    All      -0.0015167049552477177    0.000502764177619112       -0.0024745178578873643     0.0005473811681877071     
Lambda        AB|SDSS|SDSS_z            7243.961636196639     All      -3.240272490767619e-05    -2.687284731037855e-06     -3.8343467074811156e-05    7.968203644100718e-06     
MWEBV         All|All|All               All                   All      -0.5554690768346484       -3.1097520334249396        0.15078945310737704        -0.825284951633414        
Redshift      All|All|All               All                   All      5.988539209990088         0.8801701456095046         2.9968001727657048         -1.5302304367139028       
