#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                   dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5024.355833091609     All      1.2321232086014646       0.42466661942093253        1.4660438660507147         -0.1975923711829265       
Zeropoint     AB|SDSS|SDSS_i            6092.909615586979     All      0.8591621189012858       0.06681111144200003        -0.9872069594705657        -0.3021493032269555       
Zeropoint     AB|SDSS|SDSS_g            3845.0690825804154    All      -1.1759329047543812      0.49797060237590784        -0.5705103395352573        0.5197861858677391        
Zeropoint     AB|SDSS|SDSS_z            7243.961636196639     All      0.08435556309589945      0.007326149448161345       0.07197516488450795        -0.02187909317868421      
Check         All|All|All               All                   All      0.9997079858442689       0.9967744826870018         -0.019698268070600378      -0.0018345817208271359    
Lambda        AB|SDSS|SDSS_r            5024.355833091609     All      -7.06416641239022e-05    1.2680813345359423e-06     0.00030034378630399995     3.6826333609800046e-05    
Lambda        AB|SDSS|SDSS_i            6092.909615586979     All      -0.00038741530955451     -4.1890571959482984e-05    9.13796312227993e-05       0.00011662662771092851    
Lambda        AB|SDSS|SDSS_g            3845.0690825804154    All      -0.001308544394495534    0.00040533257501447473     -0.0028547904915643693     0.00043086992578686976    
Lambda        AB|SDSS|SDSS_z            7243.961636196639     All      -3.3568633692629e-05     -2.655924833015177e-06     -1.1394140268440754e-05    9.56081812470275e-06      
MWEBV         All|All|All               All                   All      -0.5465911275346755      -3.1084356215465903        0.19609519702608047        -0.8257262058694925       
Redshift      All|All|All               All                   All      5.498637842036874        0.7456821923360835         1.7090476397420673         -1.4719270759140481       
