#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                8034.276115452797     All      0.17819442868450802        -0.14210423498379754       -0.04190465040643521       -0.10620182435634763      
Zeropoint     AB|PS|PS_i                6990.9227872740685    All      1.6096374982407278         -0.06867300606696602       2.6212381896612924         -0.4297071245355364       
Zeropoint     AB|PS|PS_g                4544.982274073111     All      -0.7738796749104355        1.0389619185076526         0.8330127402243037         0.6276756804002664        
Zeropoint     AB|PS|PS_r                5771.8189477843725    All      -0.014517658326759386      0.16820170694611392        -3.3793277780824234        -0.09128616948678135      
Check         All|All|All               All                   All      0.9994345936880407         0.996386384403003          0.033018501396737676       0.00048056202160108585    
Lambda        AB|PS|PS_z                8034.276115452797     All      -4.0082613725957384e-05    4.458598188529922e-05      0.0006854004004978626      5.8165619048685275e-05    
Lambda        AB|PS|PS_i                6990.9227872740685    All      -0.0014356405026104144     8.257466202788481e-05      -0.00283147365546809       0.00036817696216259635    
Lambda        AB|PS|PS_g                4544.982274073111     All      -0.00011947307641777696    0.00013094407550104866     -0.00011007921628743154    7.665677501219788e-05     
Lambda        AB|PS|PS_r                5771.8189477843725    All      -2.5549652708516263e-05    -4.7748315831882603e-05    -4.971310915162564e-05     -9.44930263098992e-06     
MWEBV         All|All|All               All                   All      -0.6452280586159329        -3.7982945538725943        0.07133043413852236        -1.0238743406448483       
Redshift      All|All|All               All                   All      10.218543374712812         0.08699110707652835        21.852592716003752         -2.324999044151065        
