#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                8034.276115452797     All      0.19245982372787135        -0.1487814694836942       -0.04868903089160516       -0.11332628353215488      
Zeropoint     AB|PS|PS_i                6990.9227872740685    All      1.4909426689060739         -0.009425947218133501     1.8557405636397135         -0.4059062406858523       
Zeropoint     AB|PS|PS_g                4544.982274073111     All      -0.7816464376483021        1.0191908509501246        0.8974156282017858         0.6266394884892741        
Zeropoint     AB|PS|PS_r                5771.8189477843725    All      0.0940756653408043         0.14271390410183216       -2.7072732656469944        -0.10497009727446593      
Check         All|All|All               All                   All      0.9958317203264472         1.003697338350129         -0.002806104697100409      0.0024368669968010126     
Lambda        AB|PS|PS_z                8034.276115452797     All      -5.3250063186543285e-05    3.0505544907282572e-05    0.0005067766883325909      4.989707309296118e-05     
Lambda        AB|PS|PS_i                6990.9227872740685    All      -0.0013394383297985158     1.1971492058231266e-05    -0.0026409932208933825     0.0003223432412359459     
Lambda        AB|PS|PS_g                4544.982274073111     All      -0.0001465690068144946     0.00013942207002020946    -0.00029341421360200385    8.006297380170344e-05     
Lambda        AB|PS|PS_r                5771.8189477843725    All      -5.614851451923529e-05     -3.518664285059098e-05    -0.0002543996323826707     -4.524715950417453e-06    
MWEBV         All|All|All               All                   All      -0.6397734242197357        -3.805714315984865        0.07349347944720344        -1.0279714283651018       
Redshift      All|All|All               All                   All      9.513588868152311          0.9543025213472944        21.99198166330194          -1.8066400191963032       
