#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6992.702574198205     All      0.26234767098723955        0.029684302609567226       0.83597398483235           -0.03848043402463856      
Zeropoint     AB|SDSS|SDSS_g            3711.7016657541194    All      -0.8971146825028138        0.4605119749957254         0.5213675769181747         0.46548990734082385       
Zeropoint     AB|SDSS|SDSS_r            4850.084488602301     All      0.25547540593469387        0.3250769611009119         -1.3082041841323166        -0.03570762803254378      
Zeropoint     AB|SDSS|SDSS_i            5881.575150864799     All      1.374997172479965          0.18300660123724555        -0.054676169255452045      -0.39071049069404445      
Check         All|All|All               All                   All      0.9957055668990847         0.99827983994345           -0.005538791637244023      0.0005913545895970262     
Lambda        AB|SDSS|SDSS_z            6992.702574198205     All      -0.00011599340258383693    -1.6509343648042718e-05    -0.00043151679638542495    1.314861818599055e-05     
Lambda        AB|SDSS|SDSS_g            3711.7016657541194    All      -0.001634118537437075      0.0005756337141810566      0.00022308136953433643     0.000729744103988383      
Lambda        AB|SDSS|SDSS_r            4850.084488602301     All      -3.59692079272032e-05      -3.856911401447714e-05     -0.0007193026782202369     -3.294604983825617e-05    
Lambda        AB|SDSS|SDSS_i            5881.575150864799     All      -0.0003751598054275823     -5.0151333380243396e-05    -0.0005444138060440045     8.157126404537792e-05     
MWEBV         All|All|All               All                   All      -0.5425882035909102        -2.9427835264037583        0.0012565126032426654      -0.7817665083342684       
Redshift      All|All|All               All                   All      6.754373321082273          0.03849896660170771        12.242989010026184         -1.6412328534550418       
