#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5424.743469390203    All      0.36510499880284886       0.9030518716181213        1.2020906628380967         0.22887077968211456        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4336.143357901809    All      -1.04986653098167         0.6373697529810762        -0.4134279154750663        0.5311389770497271         
Zeropoint     AB|CNIa02|SDSS_i                      7417.375076345089    All      0.609603159871065         -0.20702241605237148      0.14612499913796237        -0.25948092867802464       
Zeropoint     AB|CNIa02|SDSS_r                      6116.541042349352    All      1.0715863525809939        -0.3350168880436044       -0.9371370218339659        -0.4999970725133068        
Check         All|All|All                           All                  All      0.9964279802732378        0.9983823205032216        -0.002349275332973022      0.0005317555405102703      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5424.743469390203    All      9.284256518658258e-06     0.00012820957060738513    -0.00038048850529815543    2.175843285435817e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4336.143357901809    All      -0.0009641863579817599    0.0005866532047682496     -0.0003927335857038573     0.0004876335705239678      
Lambda        AB|CNIa02|SDSS_i                      7417.375076345089    All      0.00016259279490155043    -9.94337481440555e-05     -0.00015428038987150175    -9.223549070293215e-05     
Lambda        AB|CNIa02|SDSS_r                      6116.541042349352    All      0.00028659806364322626    -7.165833684457557e-05    -0.00011399904035207223    -0.00012178314951662403    
MWEBV         All|All|All                           All                  All      -0.8534358800814164       -4.078423517596974        0.035163190966686506       -1.0489154007664894        
Redshift      All|All|All                           All                  All      4.478265184906832         -1.576574644271389        -2.709944470946302         -2.0931929060905095        
