#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5424.743469390203    All      0.1084045270452656        1.0745261584927501         1.084051329396063          0.3630738317833046         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4336.143357901809    All      -0.936492075748555        0.6109912362681325         -0.3530078185194574        0.4883131077783459         
Zeropoint     AB|CNIa02|SDSS_i                      7417.375076345089    All      0.9107264774662531        -0.2886803382152525        0.12033487062536041        -0.38531626658170404       
Zeropoint     AB|CNIa02|SDSS_r                      6116.541042349352    All      0.8364441209966393        -0.38514566036296216       -1.0316802393964486        -0.4439511316472036        
Check         All|All|All                           All                  All      0.9190830497596034        1.011691396182668          -0.1803018578944826        0.022119541332742798       
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5424.743469390203    All      -1.819343717224741e-05    0.00043020460389311873     0.00017676646564468066     0.00015394626933507735     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4336.143357901809    All      -0.0011767169325660027    0.0007456862389719005      -0.00023460474457575475    0.0006157206259058712      
Lambda        AB|CNIa02|SDSS_i                      7417.375076345089    All      0.0002959427822865404     -0.00018492066342904348    -0.00022456090892605303    -0.00016665416620145055    
Lambda        AB|CNIa02|SDSS_r                      6116.541042349352    All      0.00039243116443980026    -0.0001091085591799827     3.6853961457780186e-06     -0.00016320352584619266    
MWEBV         All|All|All                           All                  All      -0.8359222746861334       -4.096880540639258         -0.07419616462647216       -1.0655124236178994        
Redshift      All|All|All                           All                  All      5.050682251567984         -3.1707522653065645        -2.354980536257223         -2.7830836646064463        
