#Format:      
#Parameter    MagSys|Instrument|Band                    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R    6482.848149645385    All      1.025942539603882          -0.11699587453808391       0.1056271856355373         -0.36757898687618806      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I    7877.945893008188    All      0.3839568267484903         -0.08827982092203257       0.11409882520284631        -0.1487313057386752       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V    5424.546186411049    All      0.6686559536792105         0.3974181235186336         -0.2873307426260574        -0.10117333612389146      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B    4335.985664310488    All      -1.0812746498193304        0.8056211312759132         0.06511178277687213        0.6175296727477769        
Check         All|All|All                               All                  All      0.9972806702122523         0.9977635593344303         -0.0024929490108016594     4.604400902219474e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R    6482.848149645385    All      -0.00016119966280583235    -4.631285236648124e-06     -0.00023500543229252818    4.0512258418601914e-05    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I    7877.945893008188    All      3.044996582834198e-05      -3.7562302023561314e-06    3.6204472327801295e-05     -9.52644407875874e-06     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V    5424.546186411049    All      0.00011583438399892553     -6.565180770160547e-06     -0.001326132489081643      -9.904876735285707e-05    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B    4335.985664310488    All      -0.0006669672237306256     0.0002869609012957496      -0.0009564695469284123     0.00026804293065054813    
MWEBV         All|All|All                               All                  All      -0.8267769869869652        -4.068734095669324         0.032809777821274366       -1.0545479378243794       
Redshift      All|All|All                               All                  All      3.748752773280418          -1.3003552057062606        1.872805132956623          -1.5610858878734923       
