#Format:      
#Parameter    MagSys|Instrument|Band                    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R    6482.848149645385    All      1.053441380092768          -0.10375681408527626      0.13457614514777258       -0.3709320072614982        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I    7877.945893008188    All      0.3803914480222601         -0.0807055324079542       0.10925496211841595       -0.14531890899673985       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V    5424.546186411049    All      0.6973250020071309         0.3935490501092431        -0.15129949577259783      -0.10570162306799144       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B    4335.985664310488    All      -1.1322943957983884        0.7889270694894535        -0.09166809665515335      0.6217143114156631         
Check         All|All|All                               All                  All      0.9988634343237709         0.9980137731054661        0.000863514838437357      -0.00023822791056637982    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R    6482.848149645385    All      -0.0002697471924907507     7.146690102700941e-07     -0.0003408241675442873    7.288890897311186e-05      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I    7877.945893008188    All      2.2040513423343763e-05     1.523248191647958e-06     6.260610420812527e-05     -3.889325392567636e-06     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V    5424.546186411049    All      4.274488566264473e-05      -7.048672045484531e-05    -0.0013235742536784275    -9.594829930665624e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B    4335.985664310488    All      -0.00043486242981917564    0.00011707297276345623    -0.0009098890427808692    0.00013917934974646672     
MWEBV         All|All|All                               All                  All      -0.8428521244495335        -4.06087951207077         0.026542131740339148      -1.0470329366686677        
Redshift      All|All|All                               All                  All      3.899340924746031          -0.24461202512764402      1.5867230773960246        -1.2790136443877589        
