#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_r          4578.392540072072    All      -0.019644835387601478      0.38158352297781306       -0.01999764611510524      0.12980087324027528        
Zeropoint     AB|DECam|DECam_z          6518.051144765834    All      1.0976475189852377         0.15212695180206737       1.5958238775762634        -0.2367728651319942        
Zeropoint     AB|DECam|DECam_i          5562.17508397602     All      0.6090013775558738         0.1078891899179979        -2.012707029037075        -0.2530465962918421        
Zeropoint     AB|DECam|DECam_g          3444.798065427122    All      -0.6913016734346626        0.3579519854286062        0.44495025579082137       0.36163252244515026        
Check         All|All|All               All                  All      0.9957023877188473         0.9995516501264845        0.008069458214904346      0.0016139342615892338      
Lambda        AB|DECam|DECam_r          4578.392540072072    All      -0.000255476761660314      -0.0002207144226378762    -0.002777206937124288     -0.00011261075288716275    
Lambda        AB|DECam|DECam_z          6518.051144765834    All      -0.0002596361121196199     -6.994033197278726e-05    -0.0011176090182333505    1.1916398908424626e-05     
Lambda        AB|DECam|DECam_i          5562.17508397602     All      -2.8820647523576776e-05    -1.766660740014847e-05    -0.0008987534147022611    -3.647399924781156e-05     
Lambda        AB|DECam|DECam_g          3444.798065427122    All      -0.0009105745530556668     0.00047273076393528817    0.0006966877653303415     0.0004816780263326423      
MWEBV         All|All|All               All                  All      -0.47320210071588287       -2.5304947019233026       0.04394970547842436       -0.6681666096276468        
Redshift      All|All|All               All                  All      5.010784648825842          -0.19750067504737956      -1.0832570746863057       -1.7448506655065947        
