#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5847.451047017475     All      1.1816598302567356         0.1482303198894641         -0.34281534972109595      -0.35192026491174644       
Zeropoint     AB|SDSS|SDSS_g            3690.1668745045577    All      -1.0323218248586399        0.4263547303896331         0.00343325595122375       0.4752921535223423         
Zeropoint     AB|SDSS|SDSS_r            4821.944954121809     All      0.6862839619249638         0.3993874510008766         -0.034903439171871144     -0.09500921240737248       
Zeropoint     AB|SDSS|SDSS_z            6952.131859263055     All      0.16178654337590304        0.02468935284660745        0.3781244267114276        -0.02778310881753421       
Check         All|All|All               All                   All      0.9974085106989623         0.9986618541265813         0.003838893769684215      0.0005795673856891469      
Lambda        AB|SDSS|SDSS_i            5847.451047017475     All      -0.0002158361355930674     -2.2016550740065603e-05    0.00024142736328083717    7.390720964901516e-05      
Lambda        AB|SDSS|SDSS_g            3690.1668745045577    All      -0.0016137209332308545     0.0006155240151287598      -0.0006138924331637295    0.0006987432198749783      
Lambda        AB|SDSS|SDSS_r            4821.944954121809     All      -0.00020329040440226887    -6.866348541838861e-05     -0.0013713609373284283    -1.7345123592871144e-05    
Lambda        AB|SDSS|SDSS_z            6952.131859263055     All      -8.204823972598984e-05     -1.2849755862744957e-05    -0.00019983950399137      1.3622303523266187e-05     
MWEBV         All|All|All               All                   All      -0.5664867995386129        -2.9173239873172108        0.06768928025709488       -0.7627243506134775        
Redshift      All|All|All               All                   All      4.594633591747361          -0.767161162544916         1.68023132151649          -1.6715319424249246        
