#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5847.451047017475     All      1.1782209250659053         0.16770644654791056        -0.07092385984772687       -0.3323228167156786       
Zeropoint     AB|SDSS|SDSS_g            3690.1668745045577    All      -1.066570813243645         0.4109453807675578         -0.11751864091216202       0.4760313160280902        
Zeropoint     AB|SDSS|SDSS_r            4821.944954121809     All      0.7595301444451985         0.3987800931241736         -0.13685074157983035       -0.12361518010340772      
Zeropoint     AB|SDSS|SDSS_z            6952.131859263055     All      0.12767758986016003        0.021895197462029614       0.33724462127067145        -0.019407126802621633     
Check         All|All|All               All                   All      0.9988578461276186         0.9993271179016716         0.011951378930952217       0.0006861924063822356     
Lambda        AB|SDSS|SDSS_i            5847.451047017475     All      -0.00025490122605315013    -3.4911952101310225e-05    4.700147256807136e-05      7.375520380901163e-05     
Lambda        AB|SDSS|SDSS_g            3690.1668745045577    All      -0.0014907568301176979     0.0005124767333997626      -0.000831256306267724      0.0006154239249377141     
Lambda        AB|SDSS|SDSS_r            4821.944954121809     All      -0.0003185286527580346     -0.00010765022584735572    -0.0018936336123716354     -1.581412963655871e-05    
Lambda        AB|SDSS|SDSS_z            6952.131859263055     All      -7.044920040475002e-05     -1.134738567191245e-05     -0.00016222617046580872    1.2011996540397971e-05    
MWEBV         All|All|All               All                   All      -0.5771008467847762        -2.911390397070157         0.0978580286763231         -0.7559879479989331       
Redshift      All|All|All               All                   All      4.480925017841224          -0.28711867325572626       1.346718616312792          -1.4930108275772305       
