#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8254.760225315185    All      0.3008592019679032         -0.11939938705349817       0.10143461845485598       -0.13236548739188475       
Zeropoint     AB|PS|PS_i                7182.774220523191    All      0.8720119623413513         -0.2287483975964122        0.8465679083074471        -0.32077542556991634       
Zeropoint     AB|PS|PS_g                4669.709923041006    All      -0.9809227584575315        1.0529073181445803         0.5877763159984734        0.688715124395408          
Zeropoint     AB|PS|PS_r                5930.214594722801    All      0.8059872258320488         0.2927193411760953         -1.5355905802802072       -0.2357145909297531        
Check         All|All|All               All                  All      0.9979356316837719         0.9974788746707652         0.00018826248056913464    -0.00014037949614614798    
Lambda        AB|PS|PS_z                8254.760225315185    All      0.0002716705393652903      -9.6070318620541e-05       0.00018097725739973144    -0.0001117091119615857     
Lambda        AB|PS|PS_i                7182.774220523191    All      -0.000405225977198818      3.24389949637802e-05       -0.0012401827408434832    8.721822041271693e-05      
Lambda        AB|PS|PS_g                4669.709923041006    All      -0.0002331348371602749     0.00014874476175734757     -0.000462833228794203     0.00010373662754814875     
Lambda        AB|PS|PS_r                5930.214594722801    All      -0.00022371487776570465    -4.0386868694647516e-05    -0.0008988969901398637    1.9602319681399282e-05     
MWEBV         All|All|All               All                  All      -0.6435461806451102        -3.9562665021701804        0.16156624542931225       -1.0718520344955227        
Redshift      All|All|All               All                  All      7.790647828910864          -0.19457039547061683       12.59806052057359         -2.03885470132342          
