#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                8254.760225315185    All      0.32109979178319437        -0.13146488481883267      0.1020954527665087         -0.1428591529553796        
Zeropoint     AB|PS|PS_i                7182.774220523191    All      0.8728335053449985         -0.2336355201537188       0.8393287925758521         -0.3229579742396826        
Zeropoint     AB|PS|PS_g                4669.709923041006    All      -1.0119021527603107        1.0490850981417665        0.3701981331849278         0.6878515945108835         
Zeropoint     AB|PS|PS_r                5930.214594722801    All      0.8164715947366722         0.31343131525014556       -1.310987802301944         -0.22236013302993254       
Check         All|All|All               All                  All      0.9985027391045542         0.9974160084193606        0.0006345762253445741      -0.00032566571411121736    
Lambda        AB|PS|PS_z                8254.760225315185    All      0.00027166324465136823     -9.86460777038568e-05     0.0001727468886329593      -0.00011291302886400965    
Lambda        AB|PS|PS_i                7182.774220523191    All      -0.00035466104035712783    2.1934634043215043e-05    -0.0011326802228157013     7.212328464970417e-05      
Lambda        AB|PS|PS_g                4669.709923041006    All      -0.0002860476993563099     0.00021263037927429516    -0.00038024153697261597    0.00014546742282259175     
Lambda        AB|PS|PS_r                5930.214594722801    All      -0.00017737719213922632    -3.181769662901174e-05    -0.0008667248673482332     8.735566346419096e-06      
MWEBV         All|All|All               All                  All      -0.6489024189250578        -3.9600255231972525       0.1134452084714414         -1.0734791891568753        
Redshift      All|All|All               All                  All      7.614387928719365          -0.4428301109385302       12.192769693726909         -2.080393678051241         
