#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5462.61927760653     All      0.761894888030235          0.11264529853391991        -0.37766019988040544       -0.22833519116610118       
Zeropoint     AB|CNIa02|SDSS_g                      4713.585392526537    All      -0.5513330334441228        0.6152611788631468         0.23343379118635973        0.39041519273609154        
Zeropoint     AB|CNIa02|SDSS_i                      7469.163530019524    All      0.41975824283677116        -0.058674250648360626      0.17461626493696167        -0.14804888116897982       
Zeropoint     AB|CNIa02|SDSS_r                      6159.247013014055    All      1.1581043525752148         -0.11512199714669435       0.18103785276826115        -0.40665282211487214       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4366.418510109301    All      -0.7894039772512886        0.4431719123639155         -0.2099284265010397        0.3921223762816162         
Check         All|All|All                           All                  All      0.9990204727468093         0.9972821419659272         0.0014992825101373952      -0.0004993254322453455     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5462.61927760653     All      0.00015212232490769887     -6.819260455451639e-05     -0.0008052407678166898     -0.00010769801780231328    
Lambda        AB|CNIa02|SDSS_g                      4713.585392526537    All      -0.0002199909092856307     -4.566567581363283e-05     -0.000998062693956917      1.2244509576514731e-05     
Lambda        AB|CNIa02|SDSS_i                      7469.163530019524    All      -6.347938511838107e-05     -1.2080268349535033e-06    -0.00011020332135676227    1.536596197314369e-05      
Lambda        AB|CNIa02|SDSS_r                      6159.247013014055    All      -4.03363893114988e-05      -3.061219506914272e-05     -0.0002927473599231291     -9.896480152153947e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4366.418510109301    All      -0.00044419948993847054    0.00013099194311681447     -0.0007690366338200822     0.00015304020007229113     
MWEBV         All|All|All                           All                  All      -0.904517154774771         -4.0926234058559885        0.030032047394081874       -1.0371308992144066        
Redshift      All|All|All                           All                  All      5.414726380523827          0.7323302701236933         5.125560988951628          -1.2964802133269577        
