#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5462.61927760653     All      0.6316042926528838         0.08374951311003187        -0.7041937210129134        -0.2098792571080199        
Zeropoint     AB|CNIa02|SDSS_g                      4713.585392526537    All      -0.5043669883031363        0.6764902730437061         0.6931130775523542         0.4155745123685717         
Zeropoint     AB|CNIa02|SDSS_i                      7469.163530019524    All      0.4634719609069842         -0.06862043569073606       0.16780199810630947        -0.16583176640298236       
Zeropoint     AB|CNIa02|SDSS_r                      6159.247013014055    All      1.1411105226748512         -0.11158222827947206       0.23654250314439906        -0.39748743583828683       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4366.418510109301    All      -0.7336471910073836        0.4171927786076335         -0.3910057093168273        0.3574176506314697         
Check         All|All|All                           All                  All      0.998172596924199          0.9972299007911634         0.0022581484733219526      -0.00020629634924773654    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5462.61927760653     All      0.00014183436081967538     -1.1825490324259015e-05    -0.0006012650889594998     -7.688376818611918e-05     
Lambda        AB|CNIa02|SDSS_g                      4713.585392526537    All      -0.0001450756304536072     7.657032489590763e-05      -0.0005281388736980865     4.862896731364071e-05      
Lambda        AB|CNIa02|SDSS_i                      7469.163530019524    All      -2.8763757748993552e-05    1.7917759192108291e-07     -3.7988809272398385e-05    7.732400153288617e-06      
Lambda        AB|CNIa02|SDSS_r                      6159.247013014055    All      0.0002851996663426682      -4.488108824333626e-05     -8.669439979039978e-06     -0.0001079050383919        
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4366.418510109301    All      -0.0005181368552091974     0.00017758812696623853     -0.0007954963367674046     0.00019112116743918615     
MWEBV         All|All|All                           All                  All      -0.8821295562759706        -4.099331528417327         0.03252286471506771        -1.0464971790473592        
Redshift      All|All|All                           All                  All      4.887220021124689          -0.07434063683415815       6.219249421397688          -1.3386069990968612        
