#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_g          3554.8402258504884    All      -0.6169906879608463        0.3181054100881653         -0.24652799976705442      0.29359015051495935        
Zeropoint     AB|DECam|DECam_i          5739.855676936365     All      0.5829703346983957         0.07287406150204845        -1.5252109748443932       -0.23421829861564464       
Zeropoint     AB|DECam|DECam_z          6726.266667445853     All      0.8780446748215148         0.11971043049534558        1.0266583312065258        -0.20119936578204406       
Zeropoint     AB|DECam|DECam_r          4724.646746213263     All      0.15047570091308993        0.4881790385669049         0.7495590821352649        0.14345046641900533        
Check         All|All|All               All                   All      0.994500022472154          0.9988689406524642         0.004478438730343148      0.001622952536275979       
Lambda        AB|DECam|DECam_g          3554.8402258504884    All      -0.0010683372034585152     0.00040433118749911434     -0.0018373778912664266    0.0003977028077700746      
Lambda        AB|DECam|DECam_i          5739.855676936365     All      -0.00019322504222737637    -3.9382515398645986e-05    0.0004303710726023394     6.931705660431626e-05      
Lambda        AB|DECam|DECam_z          6726.266667445853     All      -0.0006122490665393523     -9.985912928470086e-05     -0.0009973456460268403    0.00012239530415276037     
Lambda        AB|DECam|DECam_r          4724.646746213263     All      -9.652993423645953e-05     -5.3352729943718805e-05    -0.000729227128853507     -1.8477821615696993e-05    
MWEBV         All|All|All               All                   All      -0.4897698863158766        -2.6422530407552713        0.11390945886455839       -0.6960513220113845        
Redshift      All|All|All               All                   All      4.8130738771423065         0.4248018212702931         5.191333195089897         -1.1977392208940383        
