#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           5030.945643582951    All      1.4724324473368875         0.4666501391762168         0.6055231524492906        -0.3005946697964553       
Zeropoint     AB|MEGACAMPSF|z           5791.734978436525    All      0.8797822125277812         0.11540630349831105        0.8377471741575052        -0.21159757204231008      
Zeropoint     AB|MEGACAMPSF|r           4106.93164663954     All      -1.0408266325601747        0.2701063247322111         -2.200791065666236        0.32880279521045974       
Zeropoint     AB|MEGACAMPSF|g           3209.244061723372    All      -0.31834162783062697       0.14849542284682826        0.77845733620764          0.18680316147814396       
Check         All|All|All               All                  All      0.993046399473867          1.0006581902535672         0.02093659714819973       0.0034137148498382675     
Lambda        AB|MEGACAMPSF|i           5030.945643582951    All      0.00017578548337883395     -2.229908348273856e-05     -0.0007312394482738135    -9.715451833064658e-05    
Lambda        AB|MEGACAMPSF|z           5791.734978436525    All      -0.00010236903847510981    -1.0340807923563213e-05    -7.666799851160267e-05    2.6555281679301966e-05    
Lambda        AB|MEGACAMPSF|r           4106.93164663954     All      -0.0005488407744407031     0.000120572229424417       -0.0013435778908653232    0.00015809212795328038    
Lambda        AB|MEGACAMPSF|g           3209.244061723372    All      -0.0007870057646529382     0.0003393646638517307      0.0016543676449496012     0.00044072273480871805    
MWEBV         All|All|All               All                  All      -0.3207250790141041        -2.2184649661360467        0.5355441580458842        -0.5942574389151977       
Redshift      All|All|All               All                  All      5.364877592304843          0.4529580760950225         1.2808200012224873        -1.542816669720632        
