#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           5030.945643582951    All      1.5377405092102707         0.4136882321262192        0.15492816621236472       -0.3592270743690416        
Zeropoint     AB|MEGACAMPSF|z           5791.734978436525    All      0.9651440418292256         0.06638686254927251       0.6303244776447503        -0.26462629506274343       
Zeropoint     AB|MEGACAMPSF|r           4106.93164663954     All      -1.2922343545482629        0.41378093155159945       -1.3903681003992752       0.49365956232741426        
Zeropoint     AB|MEGACAMPSF|g           3209.244061723372    All      -0.22013031391910182       0.10956431293909219       0.6396457050745763        0.13593683662977557        
Check         All|All|All               All                  All      0.9905198825721316         1.0034203391661833        0.03453024853241615       0.005743029525404786       
Lambda        AB|MEGACAMPSF|i           5030.945643582951    All      0.0001381276179596123      -7.52984925633593e-05     -0.0009029670531558268    -0.00010981517811248204    
Lambda        AB|MEGACAMPSF|z           5791.734978436525    All      -0.00012308775168851205    1.69528878753281e-05      0.00020957386099621316    5.49681623844695e-05       
Lambda        AB|MEGACAMPSF|r           4106.93164663954     All      -0.000635108901544642      8.070257259345662e-05     -0.0015115511529481252    0.0001657097609720539      
Lambda        AB|MEGACAMPSF|g           3209.244061723372    All      -0.00044588646420124455    0.00025152570205171104    0.0015888728945868387     0.00029807418658350245     
MWEBV         All|All|All               All                  All      -0.2711002405047822        -2.2401577208073675       0.43617524867363144       -0.6219223033336475        
Redshift      All|All|All               All                  All      5.192478723911522          0.5802470191339282        -0.28938318326092727      -1.5152694465421306        
