#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                7136.675606326747    All      0.8897155760319938         -0.12102674554492765       1.2691980339453623         -0.27259354753303155      
Zeropoint     AB|PS|PS_r                5892.154833088759    All      0.7163762980786404         0.1430584971934934         -2.293971829136021         -0.2891178962465088       
Zeropoint     AB|PS|PS_g                4639.740004797371    All      -0.9837315198285794        1.0636725071616837         0.5516850138069351         0.6915260175510792        
Zeropoint     AB|PS|PS_z                8201.781669226972    All      0.37541671810648997        -0.08678541497495473       0.4762075084486117         -0.12930348678305698      
Check         All|All|All               All                  All      0.9977770723885447         0.9989188438352947         0.003118727064888027       0.0005110869884819569     
Lambda        AB|PS|PS_i                7136.675606326747    All      -0.0005066642507029118     6.000093629928934e-05      -0.0010104189360423722     0.00013949113770827238    
Lambda        AB|PS|PS_r                5892.154833088759    All      -0.0001018387377155962     -2.978874372927105e-05     -0.00025097692488277456    1.2269105953545615e-05    
Lambda        AB|PS|PS_g                4639.740004797371    All      -4.6153138204923475e-06    -0.00018149728588525373    -0.0010564614980095202     -0.0001047613020495328    
Lambda        AB|PS|PS_z                8201.781669226972    All      7.34363431269135e-05       -1.742467831856754e-05     0.00013891904270946353     -2.339710507957151e-05    
MWEBV         All|All|All               All                  All      -0.6427386880240449        -3.8963266317569634        0.22923218897306086        -1.049571053369254        
Redshift      All|All|All               All                  All      7.294889415539809          0.24308757650537416        13.212507249983663         -1.7073903406471247       
