#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                7136.675606326747    All      0.9822274502345905        -0.1397916539247035        1.9429463110294558         -0.2787737653251657       
Zeropoint     AB|PS|PS_r                5892.154833088759    All      0.5450011045072862        0.15406416331158468        -3.8439128666100912        -0.2988771999743597       
Zeropoint     AB|PS|PS_g                4639.740004797371    All      -0.8985542224474714       1.0702713611379977         1.3026186627068959         0.6994411532170404        
Zeropoint     AB|PS|PS_z                8201.781669226972    All      0.3652637371068727        -0.08683717588668927       0.5540388495734168         -0.12253993179218367      
Check         All|All|All               All                  All      0.9939380694012784        0.9977066946381896         -0.044309043300322815      -0.0007497438746687235    
Lambda        AB|PS|PS_i                7136.675606326747    All      -0.0005732960760342768    6.290169187426591e-05      -0.0017776123093723535     0.00012790387020343005    
Lambda        AB|PS|PS_r                5892.154833088759    All      -7.516928343596696e-05    -2.1840262674289906e-05    -0.00037274552352240263    7.370957782110346e-07     
Lambda        AB|PS|PS_g                4639.740004797371    All      -8.508050184550754e-05    -6.798183459172473e-05     -0.0007401514712345097     -2.745996231444463e-05    
Lambda        AB|PS|PS_z                8201.781669226972    All      0.00015034131344918102    -3.1091561521526635e-05    0.00030169921164412817     -4.563520618093227e-05    
MWEBV         All|All|All               All                  All      -0.6247398024661486       -3.9008248304174487        0.3512995551919897         -1.0514517879120513       
Redshift      All|All|All               All                  All      6.95835926704029          -0.10429445751842792       15.521858054168835         -1.6078694368526345       
