#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_z          6593.245056653716    All      0.6926461386734469         0.07172267144781586        0.33147080793675676       -0.1874631812828324        
Zeropoint     AB|DECam|DECam_g          3484.538140558518    All      -0.7381786748857542        0.2633116267244162         -0.51729445507595         0.30313386360415806        
Zeropoint     AB|DECam|DECam_r          4631.210052178091    All      0.41248912937617777        0.5114673775377554         1.4321671615297074        0.0961515144270839         
Zeropoint     AB|DECam|DECam_i          5626.341764150865    All      0.6282752526012261         0.1518187507645763         -1.2422156529748554       -0.21063193690364984       
Check         All|All|All               All                  All      0.9952318457650966         0.9983204264745638         0.004127861415658796      0.0011902598447597335      
Lambda        AB|DECam|DECam_z          6593.245056653716    All      -0.000254916610172954      -2.876070387436296e-05     -0.0002972058857126757    6.0403485327672464e-05     
Lambda        AB|DECam|DECam_g          3484.538140558518    All      -0.0012443905001254167     0.0003901732357021848      -0.001409219151559528     0.00046954420588402165     
Lambda        AB|DECam|DECam_r          4631.210052178091    All      -0.00028107172554111366    -0.00016771496170586345    -0.0016456569845936047    -3.6514085685366005e-05    
Lambda        AB|DECam|DECam_i          5626.341764150865    All      -0.00013227565647851776    -4.1383096672413645e-05    -0.0004013203519364005    1.1697612896031673e-05     
MWEBV         All|All|All               All                  All      -0.5365994650822739        -2.577030861260887         -0.11425952287820679      -0.6697345116654488        
Redshift      All|All|All               All                  All      6.428892618640701          0.0035345867406277875      2.9217087577915577        -1.962568056052974         
