#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|ACSWF|F775W       4629.197597795989     All      -0.5651181219807745       0.6599884034285353        -0.016632656174331295     0.398315261079292          
Zeropoint     VEGAHST|ACSWF|F606W       3614.2034424142093    All      -0.7453277972579084       0.15418860209557295       -0.01061410177882749      0.2925284258663785         
Zeropoint     VEGAHST|ACSWF|F850LP      5437.303428106881     All      2.277056680775384         0.21113404351957854       -0.01060461455113515      -0.673412205032349         
Check         All|All|All               All                   All      0.9666107615367016        1.0253110490436868        -0.037851372504293934     0.017431481913321445       
Lambda        VEGAHST|ACSWF|F775W       4629.197597795989     All      -0.0009114095140266981    0.0007303305044569945     -0.00211884506115567      0.0004402144120864384      
Lambda        VEGAHST|ACSWF|F606W       3614.2034424142093    All      -0.0017386570855473804    0.0002694756724676948     -5.726496693596323e-05    0.000651559432425032       
Lambda        VEGAHST|ACSWF|F850LP      5437.303428106881     All      0.00043573462295037587    -0.0002823115395837304    -0.0022662032477563424    -0.00033502150080675085    
MWEBV         All|All|All               All                   All      -0.22010446855854138      -1.9435559508590217       -0.054393972037236615     -0.5638122008044241        
Redshift      All|All|All               All                   All      0.6159479455065195        0.48538175524157623       3.695448917864841         0.12238120895196741        
