#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint VEGAHST|ACSWF|F775W 4629.197597795989 All -1.6448020852255931 0.7217445903271127 0.14189948579087022 0.7771944316306368
Zeropoint VEGAHST|ACSWF|F606W 3614.2034424142093 All -0.5431709254231443 0.13752271850256292 -0.06995044218619945 0.2186027470183055
Zeropoint VEGAHST|ACSWF|F850LP 5437.303428106881 All 2.157116888467014 -0.340092726612399 1.6787076814026936 -0.7385103135919361
Check All|All|All All All -0.030856122181723733 0.5191745822172766 1.7506567250073644 0.25728686505700626
