#Format:      
#Parameter    MagSys|Instrument|Band                    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R    6552.210187122715    All      0.8522685100774854         -0.052014021450697         0.02564648986378426       -0.29341008547779934       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B    4382.377742793078    All      -0.6642151771804793        0.6102679900309216         0.003436788783403588      0.4152944649103346         
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_U    3594.398003872907    All      -0.3000083301960017        0.16779613582174058        0.021991211781621778      0.15336067167160405        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V    5482.585117324452    All      0.8594863405543103         0.3094532068545597         -0.05960008650889026      -0.18182356532621125       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I    7962.234521348974    All      0.2475138780170703         -0.035609688178217525      0.013805076130005145      -0.09160660285520428       
Check         All|All|All                               All                  All      0.9950452212723848         0.9998936230783073         0.005279480049924512      0.001814882922723804       
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R    6552.210187122715    All      -0.0002391452226860772     -1.5501805704482132e-05    -0.0005120727620948123    4.999656305361752e-05      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B    4382.377742793078    All      -0.00036479296953623527    0.00010699807394239892     -0.0009867414051846662    0.00010964412735124917     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_U    3594.398003872907    All      -0.0009508924399313301     0.0004060922854087023      -0.0004707152972289359    0.00042100870671650433     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V    5482.585117324452    All      0.00010236832354958744     -5.6913420719041205e-05    -0.001070348334293936     -9.964803454947814e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I    7962.234521348974    All      7.061326604606742e-05      -3.9479234064937325e-06    0.00011247117953592606    -1.9267960213726148e-05    
MWEBV         All|All|All                               All                  All      -1.05103329584239          -4.018048525092199         0.00234878785530801       -0.966349656453952         
Redshift      All|All|All                               All                  All      5.41751106170312           -1.4424806125839407        2.1500897408494564        -2.1385763452086923        
